"Date","High.price","Low.price","Closing.price","Average.price","Total.volume","Turnover","Trades"
"1995-01-02",287.13,287.13,287.13,NA,NA,NA,NA
"1995-01-03",288.6,288.6,288.6,NA,NA,NA,NA
"1995-01-04",290.65,290.65,290.65,NA,NA,NA,NA
"1995-01-05",291.51,291.51,291.51,NA,NA,NA,NA
"1995-01-09",291.81,291.81,291.81,NA,NA,NA,NA
"1995-01-10",292.13,292.13,292.13,NA,NA,NA,NA
"1995-01-11",293.32,293.32,293.32,NA,NA,NA,NA
"1995-01-12",289.79,289.79,289.79,NA,NA,NA,NA
"1995-01-13",291.27,291.27,291.27,NA,NA,NA,NA
"1995-01-16",293.85,293.85,293.85,NA,NA,NA,NA
"1995-01-17",292.76,292.76,292.76,NA,NA,NA,NA
"1995-01-18",292.97,292.97,292.97,NA,NA,NA,NA
"1995-01-19",291.43,291.43,291.43,NA,NA,NA,NA
"1995-01-20",290.08,290.08,290.08,NA,NA,NA,NA
"1995-01-23",285.72,285.72,285.72,NA,NA,NA,NA
"1995-01-24",289.37,289.37,289.37,NA,NA,NA,NA
"1995-01-25",288,288,288,NA,NA,NA,NA
"1995-01-26",289.3,289.3,289.3,NA,NA,NA,NA
"1995-01-27",290.21,290.21,290.21,NA,NA,NA,NA
"1995-01-30",288.68,288.68,288.68,NA,NA,NA,NA
"1995-01-31",287.99,287.99,287.99,NA,NA,NA,NA
"1995-02-01",292.01,292.01,292.01,NA,NA,NA,NA
"1995-02-02",291.69,291.69,291.69,NA,NA,NA,NA
"1995-02-03",293.95,293.95,293.95,NA,NA,NA,NA
"1995-02-06",296.78,296.78,296.78,NA,NA,NA,NA
"1995-02-07",295.97,295.97,295.97,NA,NA,NA,NA
"1995-02-08",293.62,293.62,293.62,NA,NA,NA,NA
"1995-02-09",298.23,298.23,298.23,NA,NA,NA,NA
"1995-02-10",297.9,297.9,297.9,NA,NA,NA,NA
"1995-02-13",296.72,296.72,296.72,NA,NA,NA,NA
"1995-02-14",298.84,298.84,298.84,NA,NA,NA,NA
"1995-02-15",298.01,298.01,298.01,NA,NA,NA,NA
"1995-02-16",295.1,295.1,295.1,NA,NA,NA,NA
"1995-02-17",292.18,292.18,292.18,NA,NA,NA,NA
"1995-02-20",292.73,292.73,292.73,NA,NA,NA,NA
"1995-02-21",293.7,293.7,293.7,NA,NA,NA,NA
"1995-02-22",291.81,291.81,291.81,NA,NA,NA,NA
"1995-02-23",290.54,290.54,290.54,NA,NA,NA,NA
"1995-02-24",291.15,291.15,291.15,NA,NA,NA,NA
"1995-02-27",289.18,289.18,289.18,NA,NA,NA,NA
"1995-02-28",288.01,288.01,288.01,NA,NA,NA,NA
"1995-03-01",290.07,290.07,290.07,NA,NA,NA,NA
"1995-03-02",286.33,286.33,286.33,NA,NA,NA,NA
"1995-03-03",283.25,283.25,283.25,NA,NA,NA,NA
"1995-03-06",277.08,277.08,277.08,NA,NA,NA,NA
"1995-03-07",274.78,274.78,274.78,NA,NA,NA,NA
"1995-03-08",276.91,276.91,276.91,NA,NA,NA,NA
"1995-03-09",273.16,273.16,273.16,NA,NA,NA,NA
"1995-03-10",278.83,278.83,278.83,NA,NA,NA,NA
"1995-03-13",278.89,278.89,278.89,NA,NA,NA,NA
"1995-03-14",283.87,283.87,283.87,NA,NA,NA,NA
"1995-03-15",283.91,283.91,283.91,NA,NA,NA,NA
"1995-03-16",282.86,282.86,282.86,NA,NA,NA,NA
"1995-03-17",282.34,282.34,282.34,NA,NA,NA,NA
"1995-03-20",284.56,284.56,284.56,NA,NA,NA,NA
"1995-03-21",284,284,284,NA,NA,NA,NA
"1995-03-22",281.83,281.83,281.83,NA,NA,NA,NA
"1995-03-23",279.05,279.05,279.05,NA,NA,NA,NA
"1995-03-24",282.48,282.48,282.48,NA,NA,NA,NA
"1995-03-27",283.12,283.12,283.12,NA,NA,NA,NA
"1995-03-28",282.38,282.38,282.38,NA,NA,NA,NA
"1995-03-29",279.02,279.02,279.02,NA,NA,NA,NA
"1995-03-30",285.4,285.4,285.4,NA,NA,NA,NA
"1995-03-31",283.26,283.26,283.26,NA,NA,NA,NA
"1995-04-03",284.21,284.21,284.21,NA,NA,NA,NA
"1995-04-04",290.24,290.24,290.24,NA,NA,NA,NA
"1995-04-05",289.91,289.91,289.91,NA,NA,NA,NA
"1995-04-06",292.64,292.64,292.64,NA,NA,NA,NA
"1995-04-07",293.22,293.22,293.22,NA,NA,NA,NA
"1995-04-10",293.63,293.63,293.63,NA,NA,NA,NA
"1995-04-11",292.86,292.86,292.86,NA,NA,NA,NA
"1995-04-12",295.07,295.07,295.07,NA,NA,NA,NA
"1995-04-13",294.9,294.9,294.9,NA,NA,NA,NA
"1995-04-18",293.15,293.15,293.15,NA,NA,NA,NA
"1995-04-19",293.26,293.26,293.26,NA,NA,NA,NA
"1995-04-20",293.32,293.32,293.32,NA,NA,NA,NA
"1995-04-21",295.02,295.02,295.02,NA,NA,NA,NA
"1995-04-24",297.17,297.17,297.17,NA,NA,NA,NA
"1995-04-25",299.85,299.85,299.85,NA,NA,NA,NA
"1995-04-26",300.49,300.49,300.49,NA,NA,NA,NA
"1995-04-27",301.75,301.75,301.75,NA,NA,NA,NA
"1995-04-28",304.77,304.77,304.77,NA,NA,NA,NA
