"","ABB.ST.Open","ABB.ST.High","ABB.ST.Low","ABB.ST.Close","ABB.ST.Volume","ABB.ST.Adj.Close","ALFA.ST.Open","ALFA.ST.High","ALFA.ST.Low","ALFA.ST.Close","ALFA.ST.Volume","ALFA.ST.Adj.Close","AZN.ST.Open","AZN.ST.High","AZN.ST.Low","AZN.ST.Close","AZN.ST.Volume","AZN.ST.Adj.Close","BOL.ST.Open","BOL.ST.High","BOL.ST.Low","BOL.ST.Close","BOL.ST.Volume","BOL.ST.Adj.Close","HMB.ST.Open","HMB.ST.High","HMB.ST.Low","HMB.ST.Close","HMB.ST.Volume","HMB.ST.Adj.Close","LUPE.ST.Open","LUPE.ST.High","LUPE.ST.Low","LUPE.ST.Close","LUPE.ST.Volume","LUPE.ST.Adj.Close","SAND.ST.Open","SAND.ST.High","SAND.ST.Low","SAND.ST.Close","SAND.ST.Volume","SAND.ST.Adj.Close","SWMA.ST.Open","SWMA.ST.High","SWMA.ST.Low","SWMA.ST.Close","SWMA.ST.Volume","SWMA.ST.Adj.Close","TLSN.ST.Open","TLSN.ST.High","TLSN.ST.Low","TLSN.ST.Close","TLSN.ST.Volume","TLSN.ST.Adj.Close"
"2009-06-29",119.5,124.25,119.25,123.75,2007500,123.75,74.1,77,74.1,76.8,1355900,75.01,347,352,344,346.5,859900,346.5,58.75,60,57.75,58.5,3451100,56.77,772,785,771,782,1750300,378.15,58.4,59.9,58.1,59.9,684100,59.9,56,58.75,56,58.25,7322500,57.67,122.5,124.5,122,124.25,776300,120.64,39.8,40.8,39.8,40.8,10216200,39.06
"2009-06-30",123.75,124.25,121,121.5,2067700,121.5,77.1,77.1,73.6,73.6,3066100,71.88,347,348,341,341.5,600,341.5,59,60.5,58,58.25,4649800,56.53,780,782,766,770,10400,372.35,60.3,61.2,59.3,59.7,1297800,59.7,58.75,58.75,56.5,57.25,9025600,56.68,124,126.25,123,125.25,1525200,121.61,40.9,40.9,40.2,40.5,10068100,38.77
"2009-07-01",122.5,123.5,121.25,123.25,1481000,123.25,73.6,75.6,73.6,75,1999600,73.25,340,340.5,336.5,339.5,840100,339.5,58.5,60.75,58.25,60.25,4695500,58.47,771,787,770,785,1645000,379.6,60,61.1,60,61.1,913800,61.1,57.75,58.75,57.5,58.5,6239700,57.92,126.25,127.25,125.5,126.5,970600,122.82,40.6,41.6,40.5,41.6,10232200,39.83
"2009-07-02",122.5,123.5,120.25,121,1375200,121,74.7,75.1,73.1,73.6,1404100,71.88,336,340,332.5,336.5,1506200,336.5,59.75,62,59.5,60.25,6125400,58.47,784,784,761,764,4900,369.45,60.5,61,58.5,59.5,790300,59.5,59,59.5,57,57.25,5895700,56.68,127.5,129.25,126.25,127.5,1019200,123.8,41.2,41.5,40.7,40.8,11365300,39.06
"2009-07-03",121.25,121.75,119.5,120,1363900,120,73.9,75,73,73.9,1060500,72.17,337.5,340.5,335,336,525500,336,60.25,60.5,58.75,58.75,2027600,57.02,767,768,761,765,563500,369.93,59.2,60.4,58.7,58.9,446100,58.9,57.75,57.75,56.25,57.25,2586500,56.68,127,128.75,127,128.25,3000,124.52,40.8,41.1,40.5,40.6,4950700,38.87
"2009-07-06",119.25,119.75,117.75,118.5,1301300,118.5,73.9,73.9,72,72.1,1350200,70.42,334.5,341.5,334.5,341.5,717600,341.5,58.75,58.75,56,56.25,3861400,54.59,762,763,752,760,1229800,367.52,58.7,58.7,56.3,56.7,1010900,56.7,56.75,56.75,55.25,55.5,3862900,54.95,128.25,128.75,125.25,128,1060100,124.28,40.5,40.6,39.8,40.3,7905500,38.58
"2009-07-07",119.25,120.5,118,118.5,1224500,118.5,72.2,73.1,71.4,71.6,1346100,69.93,343,346,340.5,343.5,825500,343.5,56.75,59.25,56.5,57.25,4827600,55.56,760,771,760,766,1144300,370.42,56.4,57.4,56.2,57,1323900,57,55.75,56.75,55,55.5,3741900,54.95,127.25,128.25,125,125,1393600,121.37,40.2,41,40,40.7,5178800,38.97
"2009-07-08",118,119.25,116.5,116.5,1603100,116.5,71,72.8,70.3,71.8,2146200,70.12,346,348.5,343.5,344.5,780600,344.5,56.5,57.75,55.75,56.25,5616400,54.59,759,768,759,763,1204600,368.97,56.3,56.6,55.6,55.7,937700,55.7,54.75,55.75,54.25,54.25,5857900,53.71,125,126.5,124.25,125.75,1086100,122.1,40.4,40.5,40.1,40.1,5285300,38.39
"2009-07-09",119,120.5,118.5,119.25,1720700,119.25,72.3,72.7,71.5,71.6,989500,69.93,346.5,346.5,341,342,643900,342,57,58,56,56.5,3366600,54.83,765,770,760,767,1346600,370.9,56.4,56.5,55.8,56.1,819300,56.1,54.75,56,54.25,54.75,4182800,54.21,126.25,127.25,125,125.25,819000,121.61,40.2,40.4,39.8,40.1,7935700,38.39
"2009-07-10",118.25,119,117,118.25,1100,118.25,71.3,71.5,70.2,70.2,1394300,68.56,342,343.5,339,342,460300,342,56.25,56.5,54.5,54.75,3598600,53.13,767,772,763,770,1170900,372.35,55.6,56.3,54.7,55,674100,55,54.5,54.75,53.25,53.5,3067600,52.97,125.25,126.25,124.75,125.5,580900,121.85,39.9,40,39.6,39.8,1000,38.1
