Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;164,7;164,9;162,1;163,2;2084879
2011-05-20;165,6;166,5;164,7;165,3;2503641
2011-05-19;166;167,2;164,7;165;2372971
2011-05-18;165,9;166,4;164,1;165,2;1528114
2011-05-17;166,5;166,9;164,8;165,3;1573543
2011-05-16;164,5;166,8;163,8;166,8;1463020
2011-05-12;164,3;166,5;164;166,3;1784043
2011-05-11;165,9;166,7;164,9;165,8;1650631
2011-05-10;165;166,6;164,8;166;1773017
2011-05-09;163,9;165,8;163,4;164,7;1979907
2011-05-06;160,8;164,4;159,8;163,9;2584057
2011-05-05;162,3;164;160,1;160,6;2545678
2011-05-04;161,5;163,7;160,3;162,1;2580082
2011-05-03;159,7;161,1;159,1;160,8;2252601
2011-05-02;166,5;166,8;162,7;163;2438979
2011-04-29;164,3;166,5;163,6;166,5;2075478
2011-04-28;162,4;165,3;161,7;165;4642237
2011-04-27;159,6;161,8;158,4;158,7;4364754
2011-04-26;154,3;157,1;154,1;156,8;2051497
2011-04-25;154,3;154,3;154,3;154,3;I/T
2011-04-22;154,3;154,3;154,3;154,3;I/T
2011-04-21;154;154,5;152,7;154,3;649061
2011-04-20;150;153,2;149,8;152,8;1977450
2011-04-19;149,9;151,4;149,8;149,8;1855784
2011-04-18;151,5;152,2;149,9;150,7;1960085
2011-04-15;149,9;151,3;149,5;151;1648281
2011-04-14;151,6;152,6;150,1;150,1;1773778
2011-04-13;152,5;153,3;152,1;152,4;1588590
2011-04-12;153;153,5;151,5;152,5;1837485
2011-04-11;152,7;153;151,9;152,5;1101552
2011-04-08;154,1;154,5;152,3;153;1129679
2011-04-07;154,5;155,3;152,7;153;2794826
2011-04-06;153,6;155;153,3;153,7;2309714
2011-04-05;155;155,8;151,8;153,6;2488004
2011-04-04;156;156,3;154,6;154,9;1579484
2011-04-01;153;155,3;152,8;155,2;2191329
2011-03-31;151,5;153,1;150,9;152,5;1871507
2011-03-30;151,2;152,3;151;151,7;1623960
2011-03-29;151,5;151,9;149,4;150,7;1979502
2011-03-28;151;152;150,6;151,7;971161
2011-03-24;149,1;151,6;148,6;151,4;2537383
2011-03-23;147,2;149,5;147,1;148,7;1461756
2011-03-22;149,1;149,4;147,4;147,9;1692609
2011-03-21;147;150,2;146,7;149,2;2020552
2011-03-18;147,1;148,8;145,8;146,7;2936809
2011-03-17;144,3;147,5;144;147,2;3431311
