Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-20;136,5;137,1;135,5;135,9;1151426
2011-05-19;135,4;136,7;134,6;136,4;1273487
2011-05-18;136,1;136,5;134,4;134,4;1305419
2011-05-17;135;137,3;134,3;135,6;2406156
2011-05-16;134,2;135,5;132,6;135,5;1544813
2011-05-12;133,5;134,7;132,6;134,2;1488030
2011-05-11;133,2;134,5;132,7;134,3;964695
2011-05-10;132,4;134;132,1;133,2;982903
2011-05-09;132,4;134;131,2;132,4;1123508
2011-05-06;131,5;133,2;128,9;132,8;1400726
2011-05-05;131,7;132,9;130,7;131;1336275
2011-05-04;132,7;133,6;130,6;131,3;1290839
2011-05-03;134,2;134,4;131,5;132,8;1423841
2011-05-02;136;136;133,9;134,3;914482
2011-04-29;134;135,3;133,4;135,3;1180095
2011-04-28;132,8;134;131,5;133,9;1856296
2011-04-27;139,5;139,7;134;134,1;3045897
2011-04-26;137;139,5;135,8;138,7;1412990
2011-04-25;136,9;136,9;136,9;136,9;I/T
2011-04-22;136,9;136,9;136,9;136,9;I/T
2011-04-21;137,3;137,8;136;136,9;679117
2011-04-20;134;136,3;133,1;136;1513108
2011-04-19;133,4;135,7;131,9;132,4;1618764
2011-04-18;134,2;134,2;130,4;130,4;1202974
2011-04-15;133,3;134,2;132,5;134,1;1677730
2011-04-14;133,8;134,5;132;133,2;964857
2011-04-13;132,4;134;132,4;133,7;1055789
2011-04-12;133,4;134,4;132,1;132,1;1260766
2011-04-11;135;135,5;133,5;134,6;887410
2011-04-08;135;135,9;134,4;135,5;901626
2011-04-07;136,5;137,2;134,3;134,3;1523402
2011-04-06;137,8;138;135,9;136,5;1763641
2011-04-05;138,3;139;136,5;137,6;1299719
2011-04-04;140;140,3;138,7;139,4;807909
2011-04-01;137,5;139,9;136,5;139,9;1431035
2011-03-31;135,9;138;135,8;137,1;1404358
2011-03-30;135,9;137;135,1;135,8;1373824
2011-03-29;134,5;134,8;133;134,8;749594
2011-03-28;134,6;134,7;132,6;134,6;921438
2011-03-24;131,2;133,8;130,8;133,8;1901764
2011-03-23;129,3;130,9;128,2;130,8;1250075
