Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-20;163,8;165,4;162,9;164;2993848
2011-05-19;162,1;164,7;161,4;164;3878551
2011-05-18;163,6;164,3;161,5;161,5;3694260
2011-05-17;164,8;166;162,7;162,7;3976976
2011-05-16;163,4;165,8;162,9;165,8;2934350
2011-05-12;166,9;167,6;164,6;164,8;4507687
2011-05-11;167,4;168,7;166;168,3;3450473
2011-05-10;171,2;172,4;169,8;171,8;2237042
2011-05-09;167,9;171,1;166,8;170,4;2841430
2011-05-06;167,6;169,1;164,7;168,6;4217831
2011-05-05;170;170,5;166,1;167,4;3931897
2011-05-04;172,9;173,2;168,7;169,4;3465788
2011-05-03;173,7;174,2;171;173;3515441
2011-05-02;178,2;178,5;173,3;174,3;2313468
2011-04-29;173,9;177,4;172,9;177,4;2718380
2011-04-28;172,5;173,9;170,2;173,9;3146264
2011-04-27;173,2;173,4;170,9;172;2472181
2011-04-26;170,8;173,7;168,6;173,4;2860739
2011-04-25;170,5;170,5;170,5;170,5;I/T
2011-04-22;170,5;170,5;170,5;170,5;I/T
2011-04-21;171;172,5;169,4;170,5;2267702
2011-04-20;167;174,3;166,3;173,2;8365260
2011-04-19;163,2;167,5;162;165,1;5944669
2011-04-18;161,9;163,6;158,6;159,2;3282156
2011-04-15;162,9;164,2;161,7;162;2103443
2011-04-14;163,1;164;161;163,1;2809137
2011-04-13;162,1;164,7;162,1;163,4;3839463
2011-04-12;164,2;165,4;161,5;161,8;3551300
2011-04-11;165,8;167,2;165,3;166,8;2152667
2011-04-08;166,2;167,7;164,4;166,9;2444377
2011-04-07;167,9;168,5;164,9;165,2;3272250
2011-04-06;168,1;169,1;167,1;168,7;2892838
2011-04-05;170;170,3;167;168,2;3818663
2011-04-04;168,9;171;168,6;170,6;2487629
2011-04-01;168,4;169,5;166,9;169,5;2929365
2011-03-31;166,4;168,6;166,1;167,8;4487712
2011-03-30;165,7;167,6;165,3;166,8;3991761
2011-03-29;163,6;164,1;162;164,1;2664688
2011-03-28;162,5;163,9;160,8;163,9;2288398
2011-03-24;158,9;161,5;158,4;161,5;3961201
2011-03-23;159,3;160,7;157;159,3;3581499
2011-03-22;161,9;161,9;158,5;160;2724491
2011-03-21;159,5;161,1;159,3;161,1;2735547
2011-03-18;155,1;157,5;154,5;157,5;4519758
2011-03-17;152,1;154,5;151;153,8;4359989
2011-03-16;153;156,3;151;151;7770151
2011-03-14;155,3;158;154,8;156,9;4773378
2011-03-10;161,9;163,3;160,9;161,4;4815367
2011-03-09;161,9;164,9;161,2;163,5;4013017
2011-03-08;160,8;162,5;159,7;161,1;4403985
2011-03-07;158,7;162,6;157,6;160,8;3885665
2011-03-02;156,6;158;155,1;155,1;4104998
2011-03-01;159,5;161,1;157,8;157,9;3749117
2011-02-28;158;160,4;156,9;159,1;3935060
2011-02-25;154,9;157,8;153,1;157,6;3801966
2011-02-24;150,7;155,6;150,2;154;4775961
2011-02-23;156,7;156,8;151,3;152,8;5714342
2011-02-22;154,5;157,8;153;157,6;3788533
2011-02-21;155,5;158,6;154,4;156,2;2461049
2011-02-18;155;156,5;152,9;155,5;2923874
2011-02-17;157,4;157,4;151,3;155,1;4705094
2011-02-16;156,4;159;154,6;156,1;3851163
2011-02-15;158,1;158,1;153,2;154,3;5029567
2011-02-11;154,9;161,6;153,6;161,4;5782436
2011-02-10;154;155,5;153,2;154,8;3786618
2011-02-09;153,7;155;153;154,5;2340251
2011-02-08;156,7;158;152;153,6;4614273
2011-02-07;157,6;159,4;155,4;156,4;3855332
2011-02-04;156,6;158,5;156,3;157,4;5729379
2011-02-03;151,2;156,6;150,5;156,4;9263645
2011-02-02;152,7;156,2;145,5;151;15413255
2011-02-01;155,3;156,7;151,9;153,5;7283969
2011-01-31;155,4;155,7;153,2;154,8;4945144
2011-01-28;161,4;161,4;155,8;155,8;4056289
2011-01-27;160,6;163,8;160,6;161,1;4443204
2011-01-26;160,1;162,4;159;161,7;4742964
2011-01-25;157,2;159,9;156,8;159;6055112
2011-01-24;158,4;158,4;152,7;154,5;4307966
2011-01-21;154,7;157;154,3;156,5;4889648
2011-01-20;157,5;158,6;154,5;154,8;5014158
2011-01-19;162,3;163;157,1;157,6;4061360
2011-01-18;163,9;165,1;161,8;161,8;3548647
2011-01-14;166,8;166,9;163,2;164,5;3389468
2011-01-13;169,6;169,8;166;167,2;3477700
2011-01-12;170;170,2;168,4;168,6;2794505
2011-01-11;165,7;170,2;164,7;169,7;3600001
2011-01-10;165;166;163,1;164,4;3406392
2011-01-05;170;170,4;163,4;163,5;3797064
2011-01-04;173,2;174;170,3;170,3;2752396
2011-01-03;170,9;172,8;170,4;172,7;1377960
2010-12-30;170,5;171,1;169,7;169,7;1578166
2010-12-29;169,9;170,6;169,6;170,6;1509896
2010-12-28;170,2;171,1;169,2;169,8;1054527
2010-12-27;171,1;171,3;170;170,6;1246441
2010-12-23;172,5;172,7;169,9;171,2;1873086
2010-12-22;172,9;174;172,2;172,7;1801365
2010-12-21;171,1;173,3;170,8;172,6;2153387
2010-12-17;167,2;170,7;166,7;170,7;3379001
2010-12-15;170;171,5;169,3;170,7;3700518
2010-12-14;170,7;171,1;169,5;170,4;3819372
2010-12-13;165,4;171,6;165,4;170,7;6347073
2010-12-10;163,3;165,4;163,1;165,1;5073821
2010-12-09;166,1;166,2;161,6;163,1;9505778
2010-12-08;164,5;165,8;163,5;165;9037321
2010-12-07;163,5;165,7;163,2;165,1;6185479
2010-12-06;163,5;164,4;162,7;163,9;3500201
2010-12-03;162,6;163,7;161;163,6;3994122
2010-12-02;160,8;163,4;160,7;163,1;7657915
2010-12-01;155,9;159,9;155,1;159,5;6092454
2010-11-30;154,2;155,8;153,5;155,3;6242519
2010-11-29;154,3;156,1;153,5;154,5;5992269
2010-11-26;152,2;153,9;151,6;153,8;4171044
2010-11-25;152,8;153,3;151,7;152,9;1767485
2010-11-24;149,7;152,3;149,1;152,2;3884121
2010-11-23;150,9;151,3;149,1;149,8;3963715
2010-11-22;153,3;154,8;151,4;151,9;4541438
2010-11-19;148,7;151,8;148,7;151,8;3719147
2010-11-17;145;146;143,7;145,5;3391378
2010-11-16;147,3;147,3;144,3;145;4180689
2010-11-15;144,6;148,1;144,3;147,7;3460068
2010-11-11;147,4;147,9;145,8;146,9;2317277
2010-11-10;147,5;148,3;146,3;147;2516177
2010-11-09;146,9;148,7;146,1;147,9;3695187
2010-11-08;145,4;146,9;144,9;146,7;2717853
2010-11-05;147,9;148;144,6;145,8;2017435
2010-11-04;145;149,7;144,1;147,7;7419284
2010-11-03;143,4;144,6;142,2;143;3956534
2010-11-02;141,7;143,8;141,5;142,7;2325727
2010-10-29;139,5;140,1;138,9;139,6;4416671
2010-10-28;139;142,6;139;140,3;4157034
2010-10-27;139,8;140,6;138,2;138,9;3446114
2010-10-26;140,8;141,3;139;140,5;3510078
