Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-20;147,1;148;145,6;147,1;938714
2011-05-19;145,2;147,1;144,8;146,7;1510071
2011-05-18;148;148,6;144,7;144,8;1114275
2011-05-17;149,6;150,5;146,7;146,7;2248995
2011-05-16;148;150,6;147,5;150,6;527098
2011-05-12;150,7;151,3;148,9;149,2;1976664
2011-05-11;150;152,3;149,6;152,3;1510729
2011-05-10;153,8;155,2;153;154,4;811945
2011-05-09;151,3;154,2;150,3;153,8;731965
2011-05-06;151,3;152;148;151,8;604433
2011-05-05;152,8;153;149,3;150,5;715992
2011-05-04;155,2;156;151,2;151,7;908314
2011-05-03;156,2;157;154;155,9;1231986
2011-05-02;161;161,2;155,9;156,8;1018656
2011-04-29;157;160,1;156,3;160,1;1040001
2011-04-28;156,4;157,4;154;157,2;893615
2011-04-27;157,6;157,6;155,2;155,7;754716
2011-04-26;155,3;157,8;153;157,7;648384
2011-04-25;155,1;155,1;155,1;155,1;I/T
2011-04-22;155,1;155,1;155,1;155,1;I/T
2011-04-21;156,9;156,9;154,1;155,1;500784
2011-04-20;151;158,4;150,7;158;2315647
2011-04-19;145,8;151,3;145,7;149,6;873988
2011-04-18;147;148,1;143,8;144,2;742229
2011-04-15;147,6;148,5;146,1;146,5;541974
2011-04-14;148,5;148,9;145,8;147,7;751436
2011-04-13;147,5;149,1;147,5;148,5;663704
2011-04-12;150,1;150,5;146,6;146,9;603072
2011-04-11;151,2;152,3;150,5;151,6;714485
2011-04-08;150;151,8;149,3;151,6;1046984
2011-04-07;151,9;152,3;148,9;149,3;1016554
2011-04-06;151,3;152,8;150,8;152,5;961347
2011-04-05;153,5;153,9;151,1;151,9;706750
2011-04-04;154;155,1;153,2;154,4;782084
2011-04-01;153;154,1;151,5;154,1;824291
2011-03-31;151;153;150,9;152,6;964264
2011-03-30;150,3;152,2;150,1;151,2;864183
2011-03-29;148,5;148,9;147,1;148,9;577704
2011-03-28;147,4;148,5;145,9;148,5;477251
2011-03-24;144;146,5;143,1;146,5;737489
2011-03-23;143,8;144,8;141,8;144;1025335
2011-03-22;145,4;146;142,7;144;961957
2011-03-21;142,5;145,1;142,5;144,8;868862
2011-03-18;139,2;141,8;138,4;141,8;1449613
2011-03-17;136,4;138,5;135;138;910096
2011-03-16;136,2;140,2;134,9;134,9;1545301
2011-03-14;139,4;142;139,2;140,8;1103048
2011-03-10;146,3;147,2;144,9;145,5;1368937
2011-03-09;145;148,1;144,5;147,4;1122450
2011-03-08;143,4;145,8;143,4;144,4;1217178
2011-03-07;143;145,7;141,6;143,2;2040955
2011-03-02;140,3;141,5;138,4;138,4;1461832
2011-03-01;144;144,9;141,7;141,7;834027
2011-02-28;141,2;144,5;141;143,9;997898
2011-02-25;139,5;141,9;137,6;141,8;626370
2011-02-24;135,1;140,1;134,4;138,6;1481891
2011-02-23;139,9;140,2;135,2;136,9;1721288
2011-02-22;138,1;141,2;136,8;141,2;1048529
2011-02-21;139,2;142,5;138,4;140,1;627173
2011-02-18;138,4;140,2;136,6;139,3;1008945
2011-02-17;141;141,8;135;138,5;2189620
2011-02-16;140;143;139,4;140,8;968972
2011-02-15;142;142,2;137,6;139,2;1182079
2011-02-11;139,9;145,8;138,9;145,8;1113655
2011-02-10;140,2;140,8;138,7;139,5;823933
2011-02-09;139,6;140,5;138,8;140,4;707287
2011-02-08;142,4;143,6;138;139,3;1912177
2011-02-07;144,1;145;141,1;142,4;1089803
2011-02-04;142,8;144,2;142,1;143,5;1661985
2011-02-03;137,8;142,4;137,1;142,1;2757651
2011-02-02;139,3;141,8;131,7;136,9;3926258
2011-02-01;141,2;142,7;137,9;139,3;1259902
2011-01-31;141,9;141,9;139,4;140,4;842811
2011-01-28;147,2;147,2;141,9;141,9;832176
2011-01-27;148;149,3;146,8;146,9;910193
2011-01-26;146;148,4;145;147,3;1150107
2011-01-25;141,8;145,5;141,8;144,9;1321238
2011-01-24;143,1;143,7;137,8;139,8;982135
2011-01-21;141,2;142,8;140,5;142,3;724152
2011-01-20;143,9;144,7;140,9;141,2;1177167
2011-01-19;147,6;148,7;143,3;143,9;1636237
2011-01-18;149,3;150,5;147,6;147,6;1618103
2011-01-14;152;152;148,4;150,1;1170196
2011-01-13;153,1;153,9;151,1;152;1948929
2011-01-12;153,4;154;152,1;153;1168139
2011-01-11;149,8;153,7;148,6;153,3;1046586
2011-01-10;148;149,5;147,1;148,8;1075289
2011-01-05;152;152,2;146;146;636486
2011-01-04;155,5;155,8;152;152;668886
2011-01-03;152,1;154,8;152,1;154,6;576489
2010-12-30;152,3;152,6;151,1;152,1;997593
2010-12-29;151,7;152,3;151,6;152,3;619103
2010-12-28;152,4;153,2;151,6;152;271449
2010-12-27;152,9;152,9;151,7;152,6;292849
2010-12-23;154,8;154,8;151,9;152,6;700253
2010-12-22;155,2;156,2;154;154,4;568296
2010-12-21;153,8;155,4;153,3;155,2;526316
2010-12-17;151,3;153,5;150;153,5;715426
2010-12-15;151,9;153,7;151,5;153;1005935
2010-12-14;153;153,8;151,3;152,3;938555
2010-12-13;148,5;153,9;148,4;153;1597647
2010-12-10;146,6;148,2;145,7;148,1;1046185
2010-12-09;147,5;148,1;144,6;145,6;2792384
2010-12-08;146,1;147;145,5;147;2910921
2010-12-07;145,3;147,2;145,3;146,1;1773846
2010-12-06;146,4;147,1;145,7;146,3;659258
2010-12-03;146,5;146,5;143,8;146,4;1049201
2010-12-02;144,1;146,7;144;146,5;1158615
2010-12-01;139,4;143;138,7;143;825777
2010-11-30;138,1;139,2;137,1;138,3;972108
2010-11-29;138,5;140,3;137,3;138,1;1173119
2010-11-26;136,7;138,3;136;138,1;654479
2010-11-25;137,1;137,6;136,1;137,2;442055
2010-11-24;134,2;136,4;133,8;136,3;1002900
2010-11-23;135,5;136,2;133,8;134,3;1035202
2010-11-22;138,1;139,8;136,5;136,8;1308982
2010-11-19;134,2;136,9;133,7;136,9;1000748
2010-11-17;130,7;131,3;129,2;131;1119348
2010-11-16;133,6;133,6;130,1;130,7;744223
2010-11-15;130,4;133,8;129,8;133,8;836177
2010-11-11;133,3;133,9;131,7;132,8;967645
2010-11-10;134,4;134,4;132,3;132,9;1131765
2010-11-09;132,6;134,7;132,3;134,4;1346940
2010-11-08;131,9;133;131,1;132,4;1050557
2010-11-05;134;134,5;130,9;132;536393
2010-11-04;131,9;135,6;131,1;134;2033524
2010-11-03;130,8;131,5;129,6;129,9;822199
2010-11-02;129,4;131,2;129,1;130,3;694356
2010-10-29;127,2;127,8;126,2;127,4;1858014
2010-10-28;126,5;129,6;126,3;127,3;893072
2010-10-27;126,2;127,4;124,7;126,5;1768498
2010-10-26;127,8;128,1;125,8;126,8;1182920
2010-10-25;128,1;128,6;126,7;127,4;1128065
2010-10-22;130,3;130,3;125,1;126;2092840
2010-10-21;125,7;130,8;125,1;130;1335249
2010-10-20;123,4;126,5;122,8;126,4;996150
2010-10-19;124,2;126,9;123,4;123,4;1650716
2010-10-18;122,9;122,9;121,4;122,3;663993
2010-10-15;124,1;124,5;122,1;123,2;979162
2010-10-14;124,1;124,5;123;123,8;922734
2010-10-13;120,2;124,3;120,2;124,1;866015
2010-10-11;117,1;120,5;117,1;120,2;749814
2010-10-08;117,3;117,6;115,8;116,7;897257
2010-10-07;117,7;118,1;116,5;117,6;1003338
2010-10-06;117,8;118,3;116,3;117,7;1188259
2010-10-05;114,3;117,3;112,5;116,4;1106052
2010-10-04;116,4;116,5;114;114,3;863174
2010-10-01;118;118,9;115,6;116,3;886580
2010-09-30;116,7;120,2;116,4;118,6;1280599
2010-09-29;116,7;118,2;116,7;117,5;1156815
2010-09-28;114,8;116,7;113,5;116,3;1116258
2010-09-27;116,6;117;114,6;114,7;989272
2010-09-24;110,7;115,9;110,3;115,9;787672
2010-09-23;113,8;113,8;110,5;111;966239
2010-09-22;115,1;115,1;112,5;112,9;1467827
2010-09-21;115,4;115,8;114,6;114,8;811909
2010-09-20;113,6;115,8;113,2;115,7;692525
2010-09-17;112,6;114,4;112,4;113,9;2292319
2010-09-16;110,8;112,4;110,5;112,1;1298743
2010-09-15;110,5;111,9;109,3;110,4;1122774
2010-09-14;109,7;110,4;108,5;110,3;882178
2010-09-13;108,1;109,7;107,9;109,6;673625
2010-09-10;108;108,6;107;107,6;847769
2010-09-09;107,1;108,2;106,2;108,1;622693
2010-09-08;106,1;107,6;105,1;107,1;586240
2010-09-07;107;107,4;105,5;106,7;681924
2010-09-06;107,4;108;106,8;107;550635
2010-09-03;107;108,8;106;107,1;1360449
2010-09-02;106,2;106,7;104,6;106,5;1123121
2010-09-01;102,5;106,4;100,4;106,4;1370222
2010-08-31;99,8;101,4;98,95;101,4;1464994
2010-08-30;103,4;103,9;99,95;100,8;802711
2010-08-27;102,1;103,1;100,4;102,8;1160541
2010-08-26;101,4;103,4;100,7;102,5;1003047
2010-08-25;100,5;102,2;98,1;100,3;1116590
2010-08-24;101;101,9;99,35;100,8;1268705
2010-08-23;102,1;103,1;100,5;101,8;1128615
2010-08-20;104;104,4;101,4;102;1066053
2010-08-19;107,3;107,7;103,8;103,9;1119138
2010-08-18;108,2;108,3;106,6;107,2;1122485
2010-08-17;108;108,2;107,3;108,2;897549
2010-08-16;106,7;107,6;105,6;107,6;752816
2010-08-13;106,2;106,6;104;106,3;571732
2010-08-12;104,4;105,7;102,8;105,1;697607
2010-08-11;108,8;108,9;103,8;104,4;1660965
2010-08-10;110,8;110,8;108,8;109,2;458471
2010-08-09;110,2;111,6;109,9;110,8;405845
2010-08-06;111;111,8;109;110;712354
2010-08-05;110,9;112,2;110,1;110,2;844537
2010-08-04;110,3;111,5;109;110,5;567843
2010-08-03;110,5;111;109,2;110,3;460891
2010-08-02;108,1;110,3;107,8;110,3;913512
2010-07-30;106,9;108,9;106;107,8;846179
2010-07-29;110,1;110,6;106,8;107,1;882636
2010-07-27;113;113,3;110,2;111,1;902485
2010-07-26;112,6;113,2;111,2;112,6;495048
2010-07-23;112;113,5;110,9;112,7;923171
2010-07-22;108;112;106,7;111,9;979374
2010-07-21;106,5;110,6;106,4;108,6;1279702
2010-07-20;105,9;106,9;103,6;105;1357824
2010-07-19;105,9;106,5;103,7;104,7;778720
2010-07-16;109,1;112,5;104,4;105,2;1411653
2010-07-15;112;112;106,2;108,2;661498
2010-07-14;111;112;109,4;112;704560
2010-07-13;106,8;110,8;106,8;110,8;936300
2010-07-12;106,8;107,6;105,7;106,7;457075
2010-07-09;105,4;106,7;104,6;106,2;426865
2010-07-08;106,9;106,9;103;104,3;758504
2010-07-07;104,5;105,4;102,2;105;577646
2010-07-06;101,6;104,8;100,9;104,3;1394102
2010-07-05;102,2;102,6;100,2;100,4;359297
2010-07-02;102,5;103;100,3;101,6;789401
2010-07-01;103,7;103,9;100;100,9;1060383
2010-06-30;103,3;105;102;103,9;697929
2010-06-29;107,7;107,9;103,1;103,6;568953
2010-06-28;110,5;110,5;107,1;109;564212
2010-06-25;108,6;108,6;108,6;108,6;I/T
2010-06-24;112,8;113;108,2;108,6;452827
2010-06-23;111,8;113,8;111,2;111,6;606005
2010-06-22;112,4;113,9;110,7;113,2;1382268
2010-06-21;111,5;113,2;111,4;112,6;899689
2010-06-18;110,3;111,3;110,1;110,4;1257849
2010-06-17;110;111,8;109,2;110;528296
2010-06-16;112,6;112,7;109,6;111,1;1009210
2010-06-15;109,9;112,5;109;112,3;756098
2010-06-14;108,1;110,5;108,1;110,4;444091
2010-06-11;107,6;108,1;106,1;107,5;1170596
2010-06-10;104,6;107,7;103,4;107,5;1291702
2010-06-09;102;104,7;101,4;104,7;390405
2010-06-08;101,7;102,9;99,9;101,7;795475
2010-06-07;100,5;103,6;100,1;101,8;745280
2010-06-04;105,3;106,5;102,3;102,6;1111022
2010-06-03;104;105,5;104;104,8;1649517
2010-06-02;101,5;103,2;100,1;102,7;695403
2010-06-01;101,8;102,4;99,2;101,7;546246
2010-05-31;101,7;102,9;101,6;101,7;318014
2010-05-28;102,8;103;101,1;101,6;675302
2010-05-27;98,6;102,3;98,6;102,3;686159
2010-05-26;95,05;99,05;94,65;98,4;873953
2010-05-25;94,4;94,8;93;93,95;1549243
2010-05-21;95;98;94,3;98;2209209
2010-05-20;99,8;100,8;93,4;95,5;2712391
2010-05-19;102,8;102,8;99;99,25;1825190
2010-05-18;103,5;103,7;102;103,4;514736
2010-05-17;101,3;103,2;100,5;101,9;905406
2010-05-12;103,3;104,9;101,7;104,3;526397
2010-05-11;104;104,2;101,6;102,9;1918117
2010-05-10;98,55;104,2;98;104,2;3048344
2010-05-07;93,7;97,7;91,7;94,9;3410387
2010-05-06;98;100,9;96,55;97,5;2573903
