Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;322,5;324;320,9;320,9;895716
2011-05-20;323,9;325,4;322,3;324,4;845485
2011-05-19;324,2;326,5;322,7;324;740625
2011-05-18;326,3;326,5;323,6;325,6;92614
2011-05-17;327;327,7;325,7;326,2;894169
2011-05-16;327,9;330;326,5;327,6;779539
2011-05-12;325;328,7;323,1;326,1;1802915
2011-05-11;319;324,7;319;324;1486956
2011-05-10;318,3;324,3;318,3;320,5;1502050
2011-05-09;315,6;318,7;313,5;318,2;991639
2011-05-06;312;315,9;312;315,8;1616870
2011-05-05;309,5;314,7;307;313,1;1502976
2011-05-04;304,6;309,6;304,1;309,2;1482737
2011-05-03;300;305,8;299,9;304,8;1208838
2011-05-02;300,8;303,5;299,7;303,5;719879
2011-04-29;302,6;302,6;297,9;300,1;707557
2011-04-28;309;309,7;299,1;301,1;2126225
2011-04-27;307,7;313;306,2;313;1390707
2011-04-26;305,8;308,2;304,5;308,2;774625
2011-04-25;305,2;305,2;305,2;305,2;I/T
2011-04-22;305,2;305,2;305,2;305,2;I/T
2011-04-21;304,6;306,3;304,4;305,2;244486
2011-04-20;303,2;307,4;302,9;305,3;1125174
2011-04-19;303;304,1;302,2;303;802653
2011-04-18;305,1;305,7;303;303,3;890591
2011-04-15;304;306,6;303,2;305,2;1091845
2011-04-14;305,9;306,4;304;304;871137
2011-04-13;304,4;307;304,4;306,8;1214778
2011-04-12;305,3;307;304,2;305,9;1240464
2011-04-11;301,9;305,8;300,4;304,4;934336
2011-04-08;301,2;303,3;300,6;301,5;1584098
2011-04-07;302,1;305,5;302;303,5;1603416
2011-04-06;299;302;297,3;301,6;1639794
2011-04-05;296,2;300,1;296,1;299,2;1037854
2011-04-04;295,3;296,8;293,4;296,1;508961
2011-04-01;292,5;294,5;291,1;294,2;816393
2011-03-31;294,7;295,2;292,1;292,1;684800
2011-03-30;291,4;295,5;291,4;295,1;905901
2011-03-29;294,9;294,9;290,4;290,9;1267593
2011-03-28;298,9;300,5;293,7;294,4;1443522
2011-03-24;290,1;291,8;289,1;291;974602
2011-03-23;294,8;294,8;289,5;291,3;1292500
2011-03-22;291,4;295,2;290,8;295,2;799622
2011-03-21;288,9;292,4;287,3;292,4;1235140
2011-03-18;292,9;293,5;288,4;289;2065358
2011-03-17;294,5;296;289,1;293,5;1545847
2011-03-16;295;295;290,8;291,7;1445505
2011-03-14;300;300,9;298;298,6;940712
2011-03-10;304;307,3;303,8;305,3;674813
2011-03-09;306;306,3;304,4;305,8;602061
2011-03-08;306,5;307,2;303,3;304,9;833067
2011-03-07;308,9;309,5;306,6;307,1;856634
2011-03-02;304,9;304,9;302,2;304,8;1321055
2011-03-01;311;311,7;306;306,1;780876
2011-02-28;304,8;309,2;303,3;309,2;867234
2011-02-25;303,3;306,3;302;306,1;744812
2011-02-24;306,1;307,9;302,2;303,9;1404581
2011-02-23;312,2;313,2;307,7;308,4;1082879
2011-02-22;316,8;318,1;310,8;312,3;879930
2011-02-21;314,3;316,3;314,3;315,3;1035113
2011-02-18;313,5;316,6;313;314,4;934289
2011-02-17;314,4;315,5;312,4;313,6;1291870
2011-02-16;314,8;316,8;314,2;314,4;688598
2011-02-15;312,7;314,3;311,6;313,7;853805
