Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-20;118,1;119,8;117,5;118,7;2905693
2011-05-19;118,7;118,9;117,6;118;2363964
2011-05-18;117,4;118,3;116,9;117,9;3033357
2011-05-17;116;118,2;115,3;116,3;3786265
2011-05-16;115,5;117;114;116,5;2554951
2011-05-12;115;115,6;113,7;115,6;4288464
2011-05-11;118,9;119,3;115,9;116,9;4057606
2011-05-10;118,8;119,5;118;118,7;2552382
2011-05-09;118,5;120,2;117,3;118,7;2178409
2011-05-06;118,6;119,6;114,8;118,7;4965952
2011-05-05;119,5;122,4;117,9;118,5;4931821
2011-05-04;122,4;122,5;118,1;118,7;6338673
2011-05-03;136,9;138,3;125;127,2;10253917
2011-05-02;136,5;138,7;136,3;138,5;1699523
2011-04-29;135,2;136,6;135;136,2;1519945
2011-04-28;135,5;136,1;134,2;134,4;2108786
2011-04-27;136,5;136,5;133,4;134,6;2326687
2011-04-26;135;136,6;134,1;136,4;1764266
2011-04-25;136,4;136,4;136,4;136,4;I/T
2011-04-22;136,4;136,4;136,4;136,4;I/T
2011-04-21;135,8;136,8;134,7;136,4;744674
2011-04-20;133,2;135,4;133,2;134,9;1955841
2011-04-19;130;133,7;129,9;132;1597230
2011-04-18;133,8;134;128,6;129,3;2367391
2011-04-15;134,1;135,2;132,9;133,4;1487196
2011-04-14;136,4;136,7;133,5;134;1973274
2011-04-13;136,9;137,9;136;136,8;1563753
2011-04-12;138,1;138,7;135;135,7;2798811
2011-04-11;140,1;141,8;139,4;139,6;2058764
2011-04-08;140,3;140,9;139,7;140,9;1709827
2011-04-07;140,9;141;138,6;139,2;2344423
2011-04-06;139,1;140,9;138,9;140,9;3180382
2011-04-05;139,6;140,2;137,4;138,6;2193497
2011-04-04;137,4;140,4;136,6;139,7;2107251
2011-04-01;136,7;137,7;135,9;137,3;1772881
2011-03-31;134,4;136,7;134,4;136;2034662
2011-03-30;134,3;135,7;134;134;2397193
2011-03-29;133,3;133,6;131,2;133,1;1841028
2011-03-28;133,7;134,6;132,5;133;1639857
2011-03-24;130,7;132,7;130,5;132,7;2107905
2011-03-23;128,2;130,6;127,7;130,5;2311952
2011-03-22;129,7;130,4;127,2;128;2000980
2011-03-21;128,2;129,9;128,1;128,6;1802538
2011-03-18;126,6;128,3;125,7;127,5;3246937
2011-03-17;121,2;125,8;121,2;125,2;3624519
2011-03-16;121,5;125,4;120,7;120,9;5724736
2011-03-14;122,7;125,9;122,6;124,7;2252271
2011-03-10;130,2;130,5;126,3;127,4;4019484
2011-03-09;133,2;134,9;131,4;132;2404205
2011-03-08;135;135,8;130,8;132,9;2991877
2011-03-07;135;136,5;134,2;134,5;2060946
2011-03-02;133,1;136;132;135,4;2382224
2011-03-01;135,6;137,3;133,6;134,8;1945091
2011-02-28;137;138;134;135,2;2382117
