Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;163,8;163,8;161,2;161,2;1422259
2011-05-20;163,4;166,7;163;165,2;3008189
2011-05-19;161,2;163;159,5;162,3;1895179
2011-05-18;158,9;162;157;160,5;2576778
2011-05-17;160,6;161,1;159,4;159,9;1916910
2011-05-16;163,5;163,8;160,5;161,3;1989604
2011-05-12;158,7;164,1;158,7;163,7;3472804
2011-05-11;158,1;160,3;158;160,2;1899735
2011-05-10;157,8;159,4;156,8;157,9;1583378
2011-05-09;158,5;160,4;157;157,7;1854223
2011-05-06;155;159,9;154,5;158,7;4088733
2011-05-05;152,8;153,8;150,8;152,6;2062950
2011-05-04;153,9;154,4;152,2;152,8;1851764
2011-05-03;154,4;154,5;152,3;153,8;1660671
2011-05-02;154,2;155,3;153,5;155;1398999
2011-04-29;154,1;154,6;152,1;153,7;1993143
2011-04-28;157,4;157,6;152,4;153,7;3851618
2011-04-27;164,8;166,4;156,4;156,4;4636628
2011-04-26;162,5;164,6;160,7;163,1;1858076
2011-04-25;162,6;162,6;162,6;162,6;I/T
2011-04-22;162,6;162,6;162,6;162,6;I/T
2011-04-21;162,5;162,8;160;162,6;472875
2011-04-20;162,1;162,5;160,4;162,1;1592951
2011-04-19;159;162,5;158,9;160,5;3848953
2011-04-18;157,9;158,1;156;157,1;2414023
2011-04-15;156,9;157,7;156;157,5;2146192
2011-04-14;156,8;157,1;155,2;156,6;1561363
2011-04-13;156,4;157,8;155;156,4;2285438
2011-04-12;152,2;155,9;152;154,3;2698315
2011-04-11;152;153,9;151,7;153,1;1937145
2011-04-08;154,2;155,7;153,7;154,1;1594123
2011-04-07;157,4;157,4;152,7;153,4;2582033
2011-04-06;156,8;157,4;155,7;157,2;1482526
2011-04-05;156,5;157,8;155,5;155,5;1678564
2011-04-04;157,5;158,8;156,3;157,5;1962238
2011-04-01;157;158,3;155,7;157,5;3233161
2011-03-31;164,5;164,6;161,8;162,7;2508660
2011-03-30;163,3;164,3;162,3;164;2257672
2011-03-29;162,4;162,4;160,4;162,3;1671351
2011-03-28;161,1;162,5;159,4;161,9;1532625
2011-03-24;157,8;162;156,8;161,8;1716072
2011-03-23;157,6;160;156,9;157,9;1210035
2011-03-22;160;160,4;156,5;158,3;1334577
2011-03-21;159,9;160;158,1;159,6;1229799
2011-03-18;156,7;158;155,5;156,8;2100992
2011-03-17;153,1;156,9;152,2;155,5;2333647
2011-03-16;154,7;156,4;150,7;152,1;2650497
2011-03-14;155,8;157,9;155,4;156,8;1677409
2011-03-10;161;164;160;160;1864607
2011-03-09;160;164,4;159,7;161,5;2738286
2011-03-08;157,9;160,1;157,3;159,1;1814748
2011-03-07;158,4;159,4;156,8;157,1;2165931
2011-03-02;156,9;157,8;156;157,1;1563058
2011-03-01;158,9;160,3;156,6;157,7;1813896
2011-02-28;156,8;159,2;156;158,8;2006916
