Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;93,05;93,4;91,6;91,95;10503340
2011-05-20;94,15;95,15;93,85;94,8;10781282
2011-05-19;94;94,3;92,95;94;10310118
2011-05-18;93,7;94,25;93,2;93,85;9120165
2011-05-17;95,45;95,6;92,8;93,2;14201492
2011-05-16;94,55;96,6;94,3;96,25;11339744
2011-05-12;95,65;96,65;93,55;94,6;17735955
2011-05-11;95,5;96,1;95,2;95,8;8779770
2011-05-10;94,6;95,95;94,15;95,5;10323593
2011-05-09;93,95;95,2;93,3;94,05;14271217
2011-05-06;92,3;94,2;90,4;94,2;16597358
2011-05-05;91,6;92,45;90,75;91,9;7831429
2011-05-04;90,65;92,05;90,25;91,35;13077907
2011-05-03;92;92,35;90,5;90,65;11891738
2011-05-02;91,8;92,1;90,65;92,05;12012694
2011-04-29;91,7;92,7;91,05;91,75;12700937
2011-04-28;90;92,05;89,05;91,55;26279558
2011-04-27;86,4;90;85,7;89,1;55070625
2011-04-26;80,65;80,7;79,05;80,45;14571681
2011-04-25;78,8;78,8;78,8;78,8;I/T
2011-04-22;78,8;78,8;78,8;78,8;I/T
2011-04-21;78,4;78,9;78,1;78,8;6785701
2011-04-20;76,3;77,95;76,05;77,45;16437856
2011-04-19;77,4;77,4;75,3;75,75;11446917
2011-04-18;77,2;77,65;76,15;76,45;11279795
2011-04-15;77,55;77,9;76,7;77,1;9672285
2011-04-14;78;78,4;77,4;77,7;10882972
2011-04-13;81;81,15;79,8;80,25;11552383
2011-04-12;82,5;82,75;79,95;80,05;15701620
2011-04-11;82,6;83,7;82,6;83,35;8333512
2011-04-08;83,1;83,55;82,45;83,2;8362796
2011-04-07;81,7;83,7;81,65;82,95;11597629
2011-04-06;82;82,1;81,4;81,75;5699144
2011-04-05;81,25;82,05;81;82,05;8356866
2011-04-04;81,05;81,3;80,8;81,05;6337030
2011-04-01;81,1;81,75;80,75;81,5;6536893
2011-03-31;80,65;82,05;80,5;81,4;9825691
2011-03-30;81,9;82,15;80,75;81;9527314
2011-03-29;81;81,5;80,25;81,35;9131895
2011-03-28;79,5;81;79,45;80,95;7256623
2011-03-24;77,7;79,25;77,65;79,1;9816646
2011-03-23;77,8;78,1;77,05;77,9;13365137
2011-03-22;76,3;77,85;76,1;77,05;10429049
2011-03-21;76,7;77,4;75,85;76,3;13171078
2011-03-18;76;76,75;75,8;76,75;13830536
2011-03-17;76,35;76,4;75,45;76;12638627
2011-03-16;76,15;77,5;74,45;74,45;19342307
2011-03-14;76,75;77,75;76,05;76,7;10207147
2011-03-10;80,1;80,5;79,25;79,55;8657121
2011-03-09;81;81,6;80,15;80,35;10377457
2011-03-08;81,65;82,55;81,25;81,35;7073250
2011-03-07;82,1;82,65;81,2;81,6;10364890
2011-03-02;80,05;80,05;78,35;78,55;9319581
2011-03-01;81,45;81,95;80,15;80,25;6445148
2011-02-28;79,4;81,7;79,3;81,5;9565297
2011-02-25;79;80,1;78,55;79,7;7180647
2011-02-24;77,6;79,95;77,15;78,7;9441169
2011-02-23;79,05;79,3;77,5;78,15;9882656
2011-02-22;78,45;79,3;77,9;78,95;6099130
2011-02-21;79,55;80,25;78,45;78,9;6014461
2011-02-18;79,5;80,15;78,7;80;8017609
2011-02-17;81,25;81,5;79,4;79,6;12733627
2011-02-16;81,85;81,95;80,25;80,8;9558366
2011-02-15;81,4;81,95;80,55;81,55;6891454
2011-02-11;81,95;82,2;81;82,1;8451650
2011-02-10;81,75;82,2;80,65;81,5;9097622
2011-02-09;81,5;81,9;80,8;81,25;7956976
2011-02-08;82,8;82,95;80,7;81,15;9961861
2011-02-07;82,35;83;82,2;82,7;7473712
2011-02-04;82,2;82,85;81,3;82,5;8634390
2011-02-03;82,2;83;81,65;82;12214875
2011-02-02;81,8;82,5;80,45;81,95;12679055
2011-02-01;80;81,8;79,8;81,3;12282599
2011-01-31;79,75;79,9;78,55;79,5;8066420
2011-01-28;80,4;81;79,8;80;8264397
2011-01-27;80,95;81,5;80,65;80,65;12665624
2011-01-26;79,95;82;79,8;81,15;23343431
2011-01-25;78;80,45;76,3;79;39327067
2011-01-24;78,45;78,5;76,5;77,1;8960160
2011-01-21;76,5;78,5;76,3;77,85;10759145
2011-01-20;75,5;77,25;74,8;76,4;15617267
2011-01-19;76,55;78,2;76,3;76,45;11874655
2011-01-18;77,1;77,55;76,6;76,85;6919096
2011-01-14;77,2;77,65;76,2;77;6962250
2011-01-13;77,3;77,4;76,55;77,2;8987811
2011-01-12;76,45;77,95;76,15;77,25;11736941
2011-01-11;76;76,65;75,75;76,5;13973287
2011-01-10;76;76,65;75,8;76;10199407
2011-01-05;76,3;77,05;75,75;76,05;4916426
2011-01-04;79,15;79,25;76,35;76,45;14608120
2011-01-03;77,8;79,3;77,8;78,95;5579731
2010-12-30;78,8;79,2;78,15;78,15;6463943
2010-12-29;77,85;79,15;77,7;79,15;5122463
2010-12-28;77,7;78,4;77,6;77,8;4173316
2010-12-27;77,05;77,75;77,05;77,5;2620658
2010-12-23;77,5;77,8;76,9;77,25;7140784
2010-12-22;79,2;79,4;77,95;78,45;10624387
2010-12-21;78,75;79,95;78,65;79,75;10796444
2010-12-17;76,15;77,7;75,8;77,25;16616032
2010-12-15;73,2;73,2;72,6;73,05;7320295
2010-12-14;72,95;73,25;72,5;73,25;7959775
2010-12-13;73,2;73,45;72,9;73;10535738
2010-12-10;72,85;73,3;72,65;73,2;10000876
2010-12-09;73,45;73,55;72,6;72,65;9728257
2010-12-08;73,2;73,75;72,9;73,1;9318684
2010-12-07;73,5;74,65;73,5;73,8;10105161
2010-12-06;74,05;74,5;73,55;73,6;6331112
2010-12-03;73,65;74,75;73,4;74,65;9163657
2010-12-02;73,75;74,05;73,2;73,65;9998252
2010-12-01;72,55;74,2;72,45;74,05;10241610
2010-11-30;72,4;73,25;72;72,55;8642307
2010-11-29;73,5;73,85;72,5;72,55;7006146
2010-11-26;73,2;74,2;73;73,45;9073534
2010-11-25;72,5;73,75;72,35;73,65;5654559
2010-11-24;71,8;72,85;71,3;72,45;9223607
2010-11-23;71,7;72,4;71,35;71,5;7072840
2010-11-22;72,5;72,7;71,3;71,95;8790962
2010-11-19;71,4;72,1;71,4;72,1;8710754
2010-11-17;70,1;71,3;69,7;70,9;12908351
2010-11-16;70;70,65;69,3;69,8;10501290
2010-11-15;69,75;70,75;68,85;70,4;15395469
2010-11-11;71,5;71,5;70,2;71,15;11503346
2010-11-10;72,05;72,1;71,05;71,6;7922938
2010-11-09;71,3;72,85;71,1;72;10251555
2010-11-08;71,9;71,95;71;71,4;9978635
2010-11-05;72,5;72,6;70,65;71,15;5055367
2010-11-04;73,1;73,1;71,55;72,05;7960077
2010-11-03;73,7;73,7;71,85;72,1;7702026
2010-11-02;73,15;73,75;72,75;73,3;6069106
2010-10-29;72,95;73,4;72,05;73,4;8705231
2010-10-28;74,05;74,6;72,35;72,9;8655978
2010-10-27;74,1;74,65;73,7;73,9;8269174
2010-10-26;73,4;74,45;73,05;74,05;9518518
2010-10-25;75,9;75,9;73,25;73,75;11956910
2010-10-22;75,9;76,8;74,3;74,9;38169385
2010-10-21;71,7;72,6;71,3;71,9;14461846
2010-10-20;72,05;72,9;71,7;72;10554083
2010-10-19;72,1;72,55;71;71,95;12212900
2010-10-18;71,55;72,85;71,25;72,5;6046180
2010-10-15;71,4;72;70,75;71,6;12783809
2010-10-14;74;74,1;71,75;72,15;10499907
2010-10-13;72,2;73,7;72,15;73,2;9075095
2010-10-11;71,5;72,35;71,3;71,7;8730715
2010-10-08;71,2;72,25;70,9;71,75;8477719
2010-10-07;71,8;72,15;71;71,2;12562787
2010-10-06;73,9;74,05;71,5;72;17818317
2010-10-05;73;74,25;72,45;73,9;11506006
2010-10-04;74;74,35;72,6;72,85;9187534
2010-10-01;73,9;75,3;73,65;74,35;9121097
2010-09-30;73,4;75,65;73,25;74;15647946
2010-09-29;73,4;73,85;72,7;73,2;8426438
2010-09-28;73,35;74,1;72,1;73,15;13142774
2010-09-27;74;74,95;73,45;73,65;9041736
2010-09-24;74,25;74,75;73,75;74,15;9474281
2010-09-23;74,9;75,65;73,85;74,25;9473492
2010-09-22;75,5;75,5;73,75;74,55;7510021
2010-09-21;75,1;75,7;74,4;74,8;13034722
2010-09-20;74,7;75,1;73,35;75,1;12619348
2010-09-17;76,2;76,45;72,55;74,7;38247187
2010-09-16;78;78;75,6;76,6;22618716
2010-09-15;79,5;79,8;77,7;78,25;13305051
2010-09-14;79,7;80,1;79,15;79,9;6176161
2010-09-13;80;80,1;78,95;79,65;7642913
2010-09-10;79,9;80,65;78,65;78,8;13134760
2010-09-09;77,9;80,05;77,6;80;13833278
2010-09-08;74,9;78,2;74,65;78;19746684
2010-09-07;75,5;76,1;73,9;74,55;10877411
2010-09-06;75,35;76,05;75,35;75,8;3542418
2010-09-03;75,25;76,25;74,3;75,15;8471405
2010-09-02;75;75,7;74,1;75,3;8807191
2010-09-01;71,9;75,35;71,85;75,1;12316133
2010-08-31;71,75;71,85;70,85;71,7;10289007
2010-08-30;73,5;73,8;71,8;72,45;7332470
2010-08-27;73,4;73,5;71,65;73,3;10871752
2010-08-26;73,25;73,45;72,3;73,4;11514792
2010-08-25;73,85;75,05;72,05;72,95;12234143
2010-08-24;75,75;75,95;73,15;74,05;12884461
2010-08-23;76,65;77,1;75,6;76;6803162
2010-08-20;78,35;78,65;76,05;76,3;10441521
2010-08-19;79,1;79,7;78,15;78,45;7760739
2010-08-18;78,8;79,8;78,25;79,05;7456907
2010-08-17;78,25;79;78;78,9;6919931
2010-08-16;77,75;79,05;77,15;78,65;8343606
2010-08-13;77;77,95;76,3;77,4;11759291
2010-08-12;76;76,6;74,8;75,9;10994455
2010-08-11;78,5;78,8;75,9;76,1;11606565
2010-08-10;79,9;80;78,5;78,5;6030129
2010-08-09;79,25;80,1;78,85;80,1;5225747
2010-08-06;80,05;80,4;77,85;78,35;9037820
2010-08-05;79,25;80,1;78,8;79,85;7736905
2010-08-04;78,9;79,25;78,15;79,05;10248386
2010-08-03;80,4;80,7;78,95;79;8489297
2010-08-02;79,8;81,05;79,8;80,75;9072122
2010-07-30;78,15;80,05;78,15;79,7;14547140
2010-07-29;77,6;79,2;77,5;79;17177168
2010-07-27;81,3;81,95;80,2;80,55;13786405
2010-07-26;83,15;83,15;80,15;81;16573591
2010-07-23;83,5;85,95;81,7;82,55;40752197
2010-07-22;86,4;89,35;86,05;88,85;12826478
2010-07-21;85,75;87,95;85,75;86,4;8060837
2010-07-20;86,7;87,8;84,5;85,3;11075753
2010-07-19;84,4;86,65;84,2;85,65;8061955
2010-07-16;87;87,35;83,75;84,25;12359023
2010-07-15;86,25;87,6;85,75;86,25;7398985
2010-07-14;86,15;87,15;85,35;86,25;7846670
2010-07-13;83,1;85,85;83,05;85,55;9265520
2010-07-12;82,3;83,15;81,55;82,7;5573114
2010-07-09;82,9;82,9;81,95;82,35;6065350
2010-07-08;84,7;84,7;81,95;82,4;9626181
2010-07-07;82,5;83,9;81,35;83,55;8033003
2010-07-06;82,6;84,65;82,05;83,1;11436346
2010-07-05;82,8;83,4;81,4;81,7;5737657
2010-07-02;84,65;85;82,5;82,6;8084222
2010-07-01;85,5;86,15;82,4;83,25;14857816
2010-06-30;85,8;88;85,15;87,25;17953359
2010-06-29;86,4;87,85;85;85;11487194
2010-06-28;84,35;87,1;84,3;87,1;12715909
2010-06-25;84,55;84,55;84,55;84,55;I/T
2010-06-24;87,8;88,55;84,35;84,55;10754533
2010-06-23;86,9;89,15;86,65;87,6;11318641
2010-06-22;87,1;88,65;86,85;87,5;9805974
2010-06-21;90,05;90,45;87,85;88,25;10105399
2010-06-18;88;89,85;87,45;89,7;13922243
2010-06-17;86,05;88,6;86,05;88;17223645
2010-06-16;86;87,05;85,25;86,7;18987261
2010-06-15;83,1;86;82,85;85,85;19053466
2010-06-14;83,5;83,9;82,75;83,4;7915321
2010-06-11;84,05;84,2;81,75;82,85;12687675
2010-06-10;81,75;84,8;81,15;84,5;13673191
2010-06-09;80,15;82,55;79,3;82,5;13627652
2010-06-08;79,9;80,65;79,35;80,3;13002742
2010-06-07;79,75;80,9;78,85;79,65;11390080
2010-06-04;81,8;82,2;80,2;80,6;12212834
2010-06-03;79,8;81,2;79,65;81,2;11408819
2010-06-02;79,05;79,8;78,55;79,5;11622815
2010-06-01;80;80,25;78,65;79,75;7709676
2010-05-31;79,4;80,3;79,1;80,3;6373778
2010-05-28;80,85;80,85;78,9;79,25;12043760
2010-05-27;79,5;80,1;79,15;79,85;13540296
2010-05-26;79,85;80,2;78,9;79,2;20780900
2010-05-25;77,5;79,05;76,85;78,1;24474771
2010-05-21;78,65;79;77,15;78,25;15664983
2010-05-20;79,75;80,1;77,35;78;15023258
2010-05-19;81,45;81,45;79,05;79,35;15954479
2010-05-18;82,5;82,9;81,35;81,95;13665125
2010-05-17;79,5;83,45;79,05;82,3;16239876
2010-05-12;78,2;81,35;77,8;81,35;11591415
2010-05-11;78,95;79;77,1;78,2;16181643
2010-05-10;78,9;79,65;78,1;79,4;23019437
2010-05-07;78;79,5;75,8;76,95;38505906
2010-05-06;80;81,65;78,6;79,25;26143686
2010-05-05;82,5;82,8;80,55;80,8;21515822
2010-05-04;85;85,1;82,1;82,1;13712252
2010-05-03;83,5;84,45;83,35;84,2;6292598
2010-04-29;85;86,35;83,6;84;16360664
2010-04-28;82,95;86,9;82,85;84,4;26071248
2010-04-27;87,5;88,25;84,1;84,1;24477727
2010-04-26;88;88,55;85,75;86,9;24148659
2010-04-23;77,5;88;77,15;88;95461166
2010-04-22;80,15;80,6;78,35;79,8;22868752
2010-04-21;79,85;82,4;79,75;80,75;30243922
2010-04-19;77,45;78,75;77,05;78,25;12034389
2010-04-16;79,75;80;77,4;77,5;16609710
2010-04-15;77,85;79,9;77,25;79,5;18753123
2010-04-14;75,2;77,8;74,8;77,7;28226555
2010-04-13;75,8;76,3;75,65;76,3;10262486
2010-04-12;75,3;76,25;74,9;76,1;9131582
2010-04-09;75,5;75,85;74,75;75,15;8555289
2010-04-08;75,4;75,4;74,15;75,2;9025430
2010-04-07;75,9;75,95;75,1;75,3;7776861
2010-04-06;77,1;77,1;75,55;75,95;8913754
2010-03-31;75;76,1;74,55;76,1;18382295
2010-03-30;75,4;75,8;73,9;74,1;8655109
2010-03-26;73,65;73,9;73,2;73,8;17342110
2010-03-25;75,05;76,05;74,5;74,8;17498881
2010-03-24;76,8;76,95;74,45;75,2;20467970
2010-03-23;76,85;77,45;76,35;76,7;14146170
2010-03-22;76,5;77,75;76,15;77,25;17714470
2010-03-19;75,65;76,85;75,5;76,85;23330577
2010-03-18;76,4;77;75,65;75,75;16430786
2010-03-17;78,55;79;76,5;77;22106611
2010-03-16;79;79,8;78,85;79,576;11123674
2010-03-15;79,5;80;78,6;79,15;13688956
2010-03-11;76,7;77,2;76,5;77,15;7752751
2010-03-10;75,25;77,1;75;77,1;8920801
2010-03-09;75,5;75,95;75,2;75,5;10713737
2010-03-08;74,9;75,8;74,5;75,7;9868683
2010-03-05;74;75,35;73,7;74,7;14753770
2010-03-04;73,75;74,65;73,4;74,1;10871233
2010-03-03;72,3;74;72,15;73,8;17526443
2010-03-02;71,5;71,8;71;71,8;7553619
2010-03-01;71,55;71,75;70,95;71,4;8470169
2010-02-26;71,5;71,6;70,95;71,3;12222448
2010-02-25;71;71,15;70,15;70,6;10148741
2010-02-24;70,95;71,8;70,75;71,15;11603666
2010-02-23;72,2;72,6;70,9;71;11160767
2010-02-22;72,55;72,8;72,1;72,4;7495640
2010-02-19;71,9;72,85;71,75;72,8;9633517
2010-02-18;72,95;73,55;72,1;72,45;8819626
2010-02-17;72,9;73,2;72,4;73,15;9977327
2010-02-16;71,05;72;71,05;71,9;8499979
2010-02-15;72,15;72,75;70,75;71,25;9281204
2010-02-12;73,65;73,65;71,7;72,2;9369681
2010-02-11;71,5;73,15;71,5;72,7;13988563
2010-02-10;72,95;73,7;71,9;72,2;11654767
2010-02-09;72,2;73,75;72,1;72,8;11890955
2010-02-08;71,7;72,6;71,05;72,3;11721788
2010-02-05;73,4;73,6;71,85;71,95;16868213
2010-02-04;73,3;74,35;73;73,2;13296205
2010-02-03;73,6;74,05;73,25;73,65;7857718
2010-02-02;74,15;74,3;73,25;73,8;12822227
2010-02-01;72,1;74,65;71,6;74,35;24176438
2010-01-29;71,5;73,3;71,15;72,85;18789926
2010-01-28;71,5;71,95;70,5;70,9;17557557
2010-01-27;71;71,75;70,3;71,1;15158371
2010-01-26;69,65;70,8;69,65;70,8;18753664
2010-01-25;70;71,35;69,15;71,1;39347081
2010-01-22;71,05;72,6;70,8;71,9;21749036
2010-01-21;70,55;71,4;70,35;70,8;18213106
2010-01-20;70,8;71,55;70;70;12664711
2010-01-19;70,35;71;69,85;70,75;13519337
2010-01-18;71;71,7;70,35;70,75;6731837
2010-01-15;71,95;72,15;70,75;71,2;14409052
2010-01-14;70,8;71,65;70,7;71,45;19131233
2010-01-13;68,65;70,25;68,3;70,25;19393949
2010-01-12;68,95;69,3;68,1;68,7;12034879
2010-01-08;69,75;70,1;69,25;69,6;13198903
2010-01-07;68,8;70,25;68,8;69,9;23324044
2010-01-06;68,7;68,7;68,7;68,7;I/T
2010-01-05;67,2;68,7;67,1;68,7;12156900
2010-01-04;65,9;66,9;65,9;66,9;10189825
2010-01-01;65,9;65,9;65,9;65,9;I/T
2009-12-30;66,95;67,1;65,8;65,9;15290741
2009-12-29;66,85;67,2;66,7;67;11413490
2009-12-28;66,75;67,3;66,65;66,95;6213576
2009-12-25;66,9;66,9;66,9;66,9;I/T
2009-12-24;66,9;66,9;66,9;66,9;I/T
