Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;173,9;173,9;170,2;170,7;672946
2011-05-20;172;175,8;171,8;175,5;770923
2011-05-19;173,5;174,2;171,5;172;710474
2011-05-18;173,1;174,9;172,7;173,3;476352
2011-05-17;173,3;173,7;172,4;173,1;2028702
2011-05-16;172,4;173,5;171,6;173,5;743797
2011-05-12;171,3;171,5;169,2;171,3;779066
2011-05-11;169,2;171,7;169,2;171,5;852597
2011-05-10;168,4;170,5;168;169,5;927200
2011-05-09;166,5;169;165,6;168,5;767192
2011-05-06;163,7;167;162,6;166,6;710442
2011-05-05;160,4;164,5;159,5;163,7;1747728
2011-05-04;159,5;160,9;158,6;160,3;901793
2011-05-03;157,9;159,4;157,2;159,2;837537
2011-05-02;160,7;160,7;157,5;157,7;494174
2011-04-29;157,9;160,7;156,9;160,6;659310
2011-04-28;157,9;157,9;155,4;157,8;892439
2011-04-27;161;163,5;156,1;160,3;1375240
2011-04-26;161,1;162,7;160,5;162;645781
2011-04-25;160,9;160,9;160,9;160,9;I/T
2011-04-22;160,9;160,9;160,9;160,9;I/T
2011-04-21;161,9;161,9;160,2;160,9;203621
2011-04-20;161,2;162,7;159,9;161;717529
2011-04-19;160;161,3;158,6;160;752828
2011-04-18;160,5;162,7;158,7;160;791908
2011-04-15;161;161,5;159,2;160,6;624734
2011-04-14;161,5;161,9;160,1;161;637115
2011-04-13;160;162,7;159,6;162;576941
2011-04-12;157;160,3;156,7;160,1;905289
2011-04-11;159,3;160;157,3;158,1;660820
2011-04-08;159,2;160,4;158,8;160,4;402955
2011-04-07;159;160,4;158,6;159;618343
2011-04-06;157,2;159,4;156,2;159,4;632119
2011-04-05;157,8;158;156,5;156,6;495017
2011-04-04;156,7;158,2;155,6;157,7;517008
2011-04-01;157,2;157,9;154,9;156,4;1194457
2011-03-31;156;156,7;155,2;155,8;801043
2011-03-30;156,5;158,5;154,3;156,2;932122
2011-03-29;154;155,6;153,8;155,6;781241
2011-03-28;155;156,2;153,2;154,1;473820
2011-03-24;150,9;152,7;150,7;152,5;741256
2011-03-23;147,5;150,7;146,9;150,4;598246
2011-03-22;149,6;149,9;146,7;147,9;655111
2011-03-21;149,4;150,9;148,3;148,9;574121
2011-03-18;144,8;148,6;144,3;148,6;1258928
2011-03-17;145,3;146;142,7;143,1;975916
2011-03-16;145,4;149;143,8;144,1;1278904
