Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;233,2;235;232;232,6;4787793
2011-05-20;235,4;236,9;232,6;234,8;7002484
2011-05-19;238;239,6;237,5;238,4;3461502
2011-05-18;236,3;237,7;234,3;237,4;3041392
2011-05-17;237,1;237,5;233,6;235,3;4081474
2011-05-16;232;237,9;231,3;237,9;5550875
2011-05-12;232;232,5;230,1;230,8;3401498
2011-05-11;231,2;234;230,6;233,5;4319117
2011-05-10;227,8;231,3;227,5;231,1;3154522
2011-05-09;229,3;229,4;226;228,2;3046211
2011-05-06;227,5;230,8;226,4;229,3;3963109
2011-05-05;226,4;227,7;223,7;227,4;4374320
2011-05-04;221,6;228,2;220,5;226,6;10567655
2011-05-03;218;220,7;217,3;220,5;6385256
2011-05-02;215,3;218,5;214,2;218,3;3470466
2011-04-29;213,7;214,6;211,6;213,5;3334211
2011-04-28;220,4;223,1;220,1;223,1;4437817
2011-04-27;219,8;220,6;217,3;220,1;2673114
2011-04-26;220;220;218;219,8;2642844
2011-04-25;219;219;219;219;I/T
2011-04-22;219;219;219;219;I/T
2011-04-21;219,1;219,6;217,8;219;1185124
2011-04-20;215,7;218,6;215,6;218,6;4270532
2011-04-19;214;215,2;212;214;2999339
2011-04-18;217;217,2;211,4;212,5;4608818
2011-04-15;218,1;218,3;215,5;217,5;2949605
2011-04-14;218,6;219;215,2;218,4;3796206
2011-04-13;219;219,7;217,2;218,8;2704010
2011-04-12;219,8;220,8;216,6;218,6;3941572
2011-04-11;220,8;221,6;220,4;220,7;2574462
2011-04-08;218,1;220,9;218;220,4;3674014
2011-04-07;218,7;219,5;216,8;218;3512999
2011-04-06;216;218,7;215,3;218;4286108
2011-04-05;213,5;215,2;213;215;2987376
2011-04-04;211;214,4;210;213,2;3491765
2011-04-01;209,2;211,2;208,1;210,6;6263361
2011-03-31;208,9;209,9;207,1;209,6;10999338
2011-03-30;218;218,3;215,4;216,6;5221376
2011-03-29;218,1;218,5;216,8;218,5;3017668
2011-03-28;218,8;219,7;217,6;219;3982443
2011-03-24;215;218,2;214;218,2;4022514
2011-03-23;210;216,4;209;215;7790273
2011-03-22;209,4;209,8;206,3;208,7;2251841
2011-03-21;207,9;209,1;206,9;209,1;2256569
2011-03-18;203,5;206;202,9;206;3968930
2011-03-17;201,1;204;200,4;202,5;3778185
2011-03-16;201,9;202,9;199,7;199,9;5206348
2011-03-14;203,6;205,4;203,4;203,4;2689845
2011-03-10;206;210,6;204,6;208;4487506
2011-03-09;207,1;208,9;205,5;206,6;2827091
2011-03-08;207,4;207,8;206;206,6;2387350
2011-03-07;205;208,7;203,5;207,4;2998382
2011-03-02;205,8;205,8;202,8;204;4485570
2011-03-01;207,5;208,4;205,7;206,7;2980066
2011-02-28;208,2;208,8;205,3;207;3746564
2011-02-25;205;208,3;203,6;208,2;3861722
2011-02-24;204;205,9;202,2;203,9;4823374
2011-02-23;207,2;207,7;204,2;204,6;5100883
2011-02-22;208,4;208,5;206,6;208,1;2931595
2011-02-21;209,2;209,5;207,4;209;2026788
2011-02-18;208,7;210;207,8;209,2;3253247
2011-02-17;210,9;211;206,1;207,8;5193517
2011-02-16;212,3;212,4;209,8;210,6;2471588
2011-02-15;212;212,6;210,1;212;3660984
2011-02-11;213;213;207,3;209,8;6116413
2011-02-10;214,1;214,1;211,8;213,3;2912104
2011-02-09;211,6;214,5;210,4;213,7;3544927
2011-02-08;212,7;212,7;208,6;210,7;4921549
2011-02-07;213,1;214,4;210,2;211,9;4949337
2011-02-04;209;212,6;208,6;212,5;6820121
2011-02-03;208;209,3;204,3;207,8;8017306
2011-02-02;211,5;211,9;206,5;208,2;5859586
2011-02-01;212;212,8;210,6;210,6;5154035
2011-01-31;211,5;212,5;208,5;211,6;6439713
2011-01-28;211;213,5;208,1;212;10976729
2011-01-27;218;218;211,6;212;18416233
2011-01-26;224,8;228,7;223,6;228,7;4784373
2011-01-25;224,6;226;222,5;223,9;3450618
2011-01-24;224,4;225,4;223;223,6;2844496
2011-01-21;222,2;223,8;220,7;223;3820062
2011-01-20;225;225,4;220,5;220,5;5520299
2011-01-19;229,5;229,5;224,5;225,2;3341919
2011-01-18;226,6;228,7;224,4;228,7;3187467
2011-01-14;229,5;229,6;226;227,2;3279811
2011-01-13;226,7;230;226;229,3;6575879
2011-01-12;227;227;221;222;5357084
2011-01-11;224,6;227,2;222,5;226,4;4053789
2011-01-10;223;224;222,3;223,7;3008658
2011-01-05;227,1;227,5;223,4;224;2180976
2011-01-04;228,9;230,9;226,9;226,9;3327226
2011-01-03;225,1;228,6;224,5;227,9;2112710
2010-12-30;226,6;228,4;224;224;3690065
2010-12-29;226;227,4;225,3;226,9;1925307
2010-12-28;226;227,5;225,3;225,7;1785930
2010-12-27;226,3;226,9;224,6;225,9;1273278
2010-12-23;225;227;224,1;226,3;2056658
2010-12-22;227,4;229,8;224,4;225,3;3533553
2010-12-21;229,5;230;226,5;227,6;3395703
2010-12-17;234,3;234,3;231;231,9;4928957
2010-12-15;243,5;243,5;238,8;239,5;3989839
2010-12-14;239;244,5;238;244,5;3897636
2010-12-13;238,4;239,9;238,2;239,1;1877296
2010-12-10;237;238,4;236;238,4;2151277
2010-12-09;240,8;241,2;236;236,9;3059476
2010-12-08;240,4;241,2;239,3;240,2;3563326
2010-12-07;240;242,8;239,8;241,4;3292965
2010-12-06;240;241;238,1;239;2501365
2010-12-03;241,5;241,6;238,4;240,5;2616327
2010-12-02;240,5;242;238,9;241,6;3042627
2010-12-01;238,1;240,2;237;240,2;3549952
2010-11-30;236;237,5;234,1;237,4;4046280
2010-11-29;237,2;238,6;234,5;236,2;3428441
2010-11-26;237,1;238,2;235,3;236,8;2766433
2010-11-25;234,9;238,6;234,4;237,8;3038820
2010-11-24;231,2;234,7;230,1;234;3377336
2010-11-23;230,4;234,7;230,1;230,2;3346446
2010-11-22;232,2;234,1;229,5;232,7;3337591
2010-11-19;229,5;230,2;227,1;229,8;2941688
2010-11-17;225,8;226;223;224,1;3254244
2010-11-16;228,6;229,4;225,5;226,9;2465065
2010-11-15;226,7;229,5;225,3;228,9;2283804
2010-11-11;231,6;231,6;228,2;228,7;2299018
2010-11-10;232,4;232,4;229,1;230,4;3267161
2010-11-09;230,9;234,5;228,4;232,3;4016835
2010-11-08;228;232;225,5;229,9;4319479
2010-11-05;232;232,5;227,1;227,5;3065202
2010-11-04;234,1;235,4;231,8;232,9;4544879
2010-11-03;237,4;237,4;232;232,9;3254562
2010-11-02;232,8;237,5;232,1;235,6;3119500
2010-10-29;235,2;235,8;232,5;235,4;2635182
2010-10-28;236,5;238,4;234,1;235,3;1930432
2010-10-27;236;237,9;234,7;235,9;1988963
2010-10-26;239,9;240,4;237;237,2;3039174
2010-10-25;242,1;242,7;239,2;240,9;2005664
2010-10-22;240,5;243,3;239,5;241;2487229
2010-10-21;236,5;242;235,5;240,8;2584151
2010-10-20;236,1;237,3;235;236,4;2165402
2010-10-19;239,3;239,8;236,5;236,5;3032489
2010-10-18;239,7;241,2;237,6;239,3;2073237
2010-10-15;241,1;242,4;240,1;240,2;3699302
2010-10-14;243;243,6;238,9;239,8;3231323
2010-10-13;239,3;243,6;238,9;241,9;2693886
2010-10-11;239,9;240,5;237,5;237,9;2565376
2010-10-08;243;243;238,6;239,6;3164205
2010-10-07;241,1;243,5;240,6;242,8;2930412
2010-10-06;242,1;242,5;240,9;241,6;3554730
2010-10-05;239,2;245,5;237,6;243,3;3929373
2010-10-04;243,2;243,4;238;238,7;4186829
2010-10-01;244;244,2;240,5;243,2;3711377
2010-09-30;242,4;246;240,4;244,1;5925796
2010-09-29;243;247;239,4;242,3;14154159
2010-09-28;257,2;259;254,6;259;3025056
2010-09-27;260,5;260,5;256,5;256,9;2727325
2010-09-24;253,5;260;252,8;260;3324797
2010-09-23;258,5;259,3;251,6;254,3;3881828
2010-09-22;260,8;260,8;255,6;258,4;3165596
2010-09-21;259;260,9;258,5;259,6;3016648
2010-09-20;255,4;259,6;255,4;258,2;3287362
2010-09-17;255;258,2;254,7;255,1;6070409
2010-09-16;253,4;255;252,7;254,1;2550245
2010-09-15;252,6;254,7;251,8;253;2536500
2010-09-14;251,8;253,2;250;252,6;2445578
2010-09-13;248,9;252,2;248,5;251,2;2541036
2010-09-10;247,6;248,7;245,9;248,3;2009439
2010-09-09;248,8;248,8;246;247,9;2473443
2010-09-08;247,3;249,7;244,8;248,4;2116242
2010-09-07;247,2;248;245,6;247,5;2421197
2010-09-06;247,7;248,7;246,4;247,5;2087292
2010-09-03;247;248,7;244,5;246,1;2671663
2010-09-02;248;248,1;245,7;245,8;2497331
2010-09-01;243;248,6;239,5;247,5;4904258
2010-08-31;236;242,9;234,3;241,8;5408573
2010-08-30;240;242;235,5;237,8;1961022
2010-08-27;232,9;239,6;232,8;239,3;3661165
2010-08-26;236,4;236,5;231,4;232,8;2808138
2010-08-25;233,5;234,4;227,7;231,8;2879320
2010-08-24;236,3;236,9;231,2;233,9;3326119
2010-08-23;237,2;239,4;234,9;237,6;2840465
2010-08-20;239,6;241,3;235,4;235,8;3107106
2010-08-19;243,5;244,3;239,4;240,4;2969313
2010-08-18;240,6;244;238,9;243,1;2817752
2010-08-17;238,3;242,4;238,3;240,6;4015586
2010-08-16;234,9;240;234,6;239,3;5632931
2010-08-13;231,7;231,8;226,7;228,1;2895674
2010-08-12;231,3;232,7;228,1;230;3128658
2010-08-11;235,7;235,7;231,9;233;2680917
2010-08-10;234,9;236,1;232,6;236,1;2356321
2010-08-09;233,6;235,7;233,1;235,5;2148830
2010-08-06;233,6;235,3;230,2;231,9;2770356
2010-08-05;232,2;233,9;230,7;233,6;2267204
2010-08-04;233,5;233,5;230;232,1;2385392
2010-08-03;233;233,9;231;233,1;1855936
2010-08-02;228,8;233,2;228,5;232,8;2226855
2010-07-30;227,5;229,1;226,1;227,4;2417777
2010-07-29;229,7;229,7;226,2;227,4;1898118
2010-07-27;230,6;231;228;228,9;2014524
2010-07-26;232;232,4;228;229,5;1509146
2010-07-23;230,2;231,8;229,3;230,1;1747694
2010-07-22;225,4;230,4;224,6;229,9;2211666
2010-07-21;224,1;227;223,1;225,5;2465492
2010-07-20;224,5;224,9;221,1;222,8;1648112
2010-07-19;225;227,2;221,7;222,6;2413344
2010-07-16;228;228,4;224,9;225;3880295
2010-07-15;223,7;227,9;223,7;227,9;3470703
2010-07-14;223,9;225,2;221,6;225,2;3093943
2010-07-13;218,6;222,3;217,5;221,8;2234014
2010-07-12;219;219;215,9;218,1;1078918
2010-07-09;217;218,9;214,3;218,1;2460477
2010-07-08;220,8;221,5;213,8;215,8;3679235
2010-07-07;217,4;218,9;214,2;218,9;2773824
2010-07-06;213,9;218,7;213;218;3269546
2010-07-05;212;213,3;210,6;211,9;2010307
2010-07-02;213,7;213,7;209,9;210,9;2356487
2010-07-01;213,9;214,5;208,5;210,3;3654799
2010-06-30;212,8;215,6;210,7;215,6;6060929
2010-06-29;214,9;215,8;210,6;212;3838769
2010-06-28;221,2;221,5;213,9;216,5;5304214
2010-06-25;220,4;220,4;220,4;220,4;I/T
2010-06-24;227;229,8;220;220,4;5421047
2010-06-23;229;230,7;226,9;227,3;4371891
2010-06-22;224,8;230,2;223,4;230,2;4103904
2010-06-21;228,6;229,2;224,9;225,4;2527965
2010-06-18;225,9;225,9;224,7;225,1;3376952
2010-06-17;225,7;226,4;224;225;3464791
2010-06-16;226,1;227;223,7;226;3914772
2010-06-15;222,3;225,9;222;224,9;3594083
2010-06-14;222,5;224,4;222,1;223;2750993
2010-06-11;226,3;226,3;220,6;221,1;3376323
2010-06-10;224;224,9;221,3;224,7;4717822
2010-06-09;222,7;224,3;220,3;224,2;4363101
2010-06-08;224,9;224,9;217,5;219,5;4849266
2010-06-07;226;227,5;223,7;225,2;4157615
2010-06-04;233;233;227,1;228,9;3996020
2010-06-03;229,4;234;228,6;231,5;4032598
2010-06-02;221,5;226,8;220,1;226;3056441
2010-06-01;222,1;223;217,3;221,9;2443459
2010-05-31;222,5;223,5;222,05;222,35;2109724
2010-05-28;223,1;223,25;220,15;221,25;2526486
2010-05-27;218,35;221;218,15;220,5;5189880
2010-05-26;214,5;216,55;212,6;215,6;3875840
2010-05-25;210;211,5;208,5;210,35;4271502
