Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;84,3;84,3;82,2;82,75;1377995
2011-05-20;85,85;85,95;84,7;85,25;1515806
2011-05-19;84,65;87,15;84,5;85;2217551
2011-05-18;82,75;83,75;82,5;83,15;1435179
2011-05-17;83,45;84,05;82,4;82,5;1493695
2011-05-16;83,05;84,4;81,85;83,85;1626480
2011-05-12;83,4;84,4;82,1;84,05;1694376
2011-05-11;86,8;86,95;84,9;85,35;956442
2011-05-10;85,75;86,65;85,5;86,3;1195185
2011-05-09;85,1;86,75;84,35;85,55;1423046
2011-05-06;83,5;85,65;79,15;85,55;3984524
2011-05-05;87;89,25;84,35;84,35;2185449
2011-05-04;92,3;93;86,65;86,75;2173978
2011-05-03;92,75;92,75;89,05;89,25;1516100
2011-05-02;92,1;92,95;91,9;92,85;737743
2011-04-29;91,7;91,85;90,8;91,85;546776
2011-04-28;91,7;91,85;90,5;91,55;907474
2011-04-27;92,4;93,2;90,85;91;1212663
2011-04-26;92,2;93,25;89,9;92,6;1226551
2011-04-25;92,4;92,4;92,4;92,4;I/T
2011-04-22;92,4;92,4;92,4;92,4;I/T
2011-04-21;93;93,2;91,15;92,4;655694
2011-04-20;88,15;91,8;88,15;91,4;1281999
2011-04-19;85,5;87,95;85,4;87,7;1263377
2011-04-18;86,55;87,8;85;85,5;1356213
2011-04-15;88,25;88,7;86,2;87;1333993
2011-04-14;89,65;90,35;87,75;88,3;1246575
2011-04-13;88,5;89,95;88,4;89,35;1021656
2011-04-12;93;93,1;88,25;88,3;2325598
2011-04-11;94,4;94,4;93;93;1031776
2011-04-08;94,55;94,95;93,3;94;1208844
2011-04-07;97;97,1;93,05;93,5;2283491
2011-04-06;95;98,5;94,8;96,7;2581980
2011-04-05;95,9;96,15;95;95,6;1012381
2011-04-04;94,3;96,7;94,25;95,9;1851245
2011-04-01;91,15;93,8;91,15;93,75;1909526
2011-03-31;88,75;91,55;88,5;90,55;1388074
2011-03-30;89,35;89,7;88,1;88,5;820842
2011-03-29;89,1;89,2;87,65;88,7;1038249
2011-03-28;90,05;90,05;88,25;89,15;962441
2011-03-24;85,65;88;85,65;88;1513564
2011-03-23;83,2;86,4;83,2;85,5;1213528
2011-03-22;84,4;84,6;83,15;83,85;1090364
2011-03-21;83,9;84,2;83,55;84,1;1170347
2011-03-18;81,45;82,9;81,45;81,95;2067175
2011-03-17;76,9;80,35;76,65;80,35;1571704
2011-03-16;79,05;80,3;77,05;77,05;1961359
2011-03-14;80,1;82,7;80,05;81,15;1220503
2011-03-10;85,1;85,75;82,35;82,85;1948976
2011-03-09;82,8;86,8;82,75;84,9;2367539
2011-03-08;81;84,75;81;83,1;2574136
2011-03-07;79,4;80,5;78,6;79,6;787959
2011-03-02;77,95;78,35;75,85;75,85;2140024
2011-03-01;79,35;79,85;78,25;78,25;661769
2011-02-28;78,95;79,9;77,65;78,8;996045
2011-02-25;77,75;79;76,95;78,9;1124729
2011-02-24;74,15;78,85;73,8;77,6;2672203
2011-02-23;75,95;76,25;72,7;74,8;2231424
2011-02-22;76,35;76,8;74,45;76,1;1502183
2011-02-21;75,8;78,5;75,4;76,1;1762030
2011-02-18;74,2;76,75;74;75,8;1789207
2011-02-17;75,7;76,65;73,65;74;1655093
2011-02-16;77,45;77,7;75,95;76,65;1304078
2011-02-15;80,05;80,45;76,85;77,5;1135228
2011-02-11;77,95;78,5;76,4;78,4;1096390
2011-02-10;79,5;80;77,9;78;1121100
2011-02-09;77,7;79,7;77;79,25;1548001
2011-02-08;80,25;80,5;77,85;77,95;2039482
2011-02-07;80,3;81,1;79,5;80,5;1174084
2011-02-04;81;81,9;80,25;80,45;1186630
2011-02-03;80,9;82,25;80,05;81;1312827
2011-02-02;83,95;84;81,05;81,5;1733997
2011-02-01;81,25;83,55;81,25;83,55;1635577
2011-01-31;79,1;80,95;79;80,4;1282491
2011-01-28;79,55;80,35;78,9;79,2;676281
2011-01-27;79;81,45;79;79,7;1479885
2011-01-26;76,2;79,25;76,1;79;1469782
2011-01-25;76,3;76,95;74,5;76;2205979
2011-01-24;77,75;78;75,6;76,2;1065787
2011-01-21;76;78,2;75,7;77,8;1434555
2011-01-20;79,6;79,7;75,3;75,3;2564372
2011-01-19;82,25;82,7;79,6;79,6;1090750
2011-01-18;81,55;82,6;80,2;82,25;1286715
2011-01-14;83,8;84,1;83,1;83,8;1003948
2011-01-13;84,2;84,2;83,25;84,05;1413853
2011-01-12;84,5;85,7;84,1;84,2;1286061
2011-01-11;84,2;84,7;83,8;84,35;1640344
2011-01-10;84,3;84,9;83,5;83,7;1460019
2011-01-05;85,2;85,25;83,9;84,05;796936
2011-01-04;86;86,65;84,05;85,7;2344706
2011-01-03;83,9;86,6;83,9;86,6;1039616
2010-12-30;84;84,3;83,55;83,65;743808
2010-12-29;84;84,25;83,5;83,9;636947
2010-12-28;84,5;85;83,3;83,65;1068600
2010-12-27;82,15;84,35;82,15;84,3;742210
2010-12-23;82,5;82,9;81,9;82,8;794585
2010-12-22;81;83,15;81;82,4;1299974
2010-12-21;78,3;82;78,2;81,95;1996668
2010-12-17;76,95;78,25;76,6;78,25;1409344
2010-12-15;77;77,35;76,3;77,35;893693
2010-12-14;75,9;77,45;75,45;77;1322623
2010-12-13;76;76,5;75,65;75,95;1273063
2010-12-10;74,95;76,4;73,9;76,05;1468475
2010-12-09;77,1;77,4;74,3;74,4;2490472
2010-12-08;79;79;75,95;76,25;2642063
2010-12-07;77,4;80,5;77,2;79,75;2627044
2010-12-06;74,5;77,05;74,5;77;1765436
2010-12-03;74,65;74,95;73,7;74,45;1011471
2010-12-02;73,4;75,1;72,45;74,45;2029292
2010-12-01;69,95;73,3;69,65;72,45;3126047
2010-11-30;68,05;69,2;67,35;69,05;1369460
2010-11-29;69;69,3;67,75;67,95;1613692
2010-11-26;68,8;69,35;67,45;68,55;2358230
2010-11-25;67,05;68,95;66,6;68,95;1487141
2010-11-24;66,55;67,3;65,55;66,95;1904010
2010-11-23;67,55;67,75;66,3;66,55;1295561
2010-11-22;68,25;69,15;67,65;67,9;1638900
2010-11-19;67,7;67,7;66,65;67,4;845267
2010-11-17;66,6;67,3;65,1;66,7;1023510
2010-11-16;67,5;67,9;66,65;66,9;1654695
2010-11-15;67,6;68,1;67;68,05;935083
2010-11-11;68,3;69,35;68,05;69,35;1330235
2010-11-10;68,35;68,4;67,1;67,65;1014784
2010-11-09;68,1;68,75;67,7;68,35;1277459
2010-11-08;69,5;69,5;67,25;68,05;2806567
2010-11-05;71;71,9;69,85;70,35;1343434
2010-11-04;68,5;70,8;68,5;70,6;2747143
2010-11-03;64;68,5;64;67,95;3795153
2010-11-02;62,35;63;61,65;63;1636554
2010-10-29;61;63,35;60,55;63,2;2234166
2010-10-28;63,1;63,95;60,9;61,1;2489264
2010-10-27;64,25;64,75;62,95;63,15;1772118
2010-10-26;63,6;65,9;63,25;64,25;2949255
2010-10-25;62,2;64;61,7;63,7;1717488
2010-10-22;61;62,45;60,6;61,8;989273
2010-10-21;60,6;61,5;60,45;61,2;868245
2010-10-20;59,6;60,75;59,55;60,45;950373
2010-10-19;61,55;61,95;59,65;59,9;1767793
2010-10-18;61,8;62,7;61,1;61,5;1152105
2010-10-15;60,85;62,3;60,5;61,8;1920641
2010-10-14;62,25;62,65;60,25;60,5;1821098
2010-10-13;61;63,3;60,75;62,2;1580140
2010-10-11;60,5;61,7;60,3;61,35;1121338
2010-10-08;60,5;60,5;59,2;60,45;1546082
2010-10-07;59,65;60,45;59,1;60,35;1571152
2010-10-06;59,65;60,45;59,05;59,25;2312593
2010-10-05;57,35;59;57;58,85;1396768
2010-10-04;58,4;58,4;57,15;57,35;1081944
2010-10-01;57,3;58,15;57,15;57,85;1898581
2010-09-30;56,4;57,2;56,2;56,75;2006291
2010-09-29;55,6;56,7;55,2;56,5;1723581
2010-09-28;55,1;56,2;54,25;55,45;1766676
2010-09-27;56;56,4;55,25;55,5;1115029
2010-09-24;54,1;55,9;53,85;55,85;1432428
2010-09-23;55,85;56,2;53,5;54,05;2428118
2010-09-22;55,4;56,4;53,85;55,6;2794368
2010-09-21;55,9;56,45;55,3;55,4;1865770
2010-09-20;55,85;58,4;54,35;55,55;6077749
2010-09-17;52;55,95;52;55,55;12318802
2010-09-16;46,49;47,3;46,28;47,22;1120173
2010-09-15;46,8;46,95;46,36;46,49;878604
2010-09-14;46,6;46,88;46,37;46,79;1025089
2010-09-13;46,7;46,94;46,39;46,55;1301011
2010-09-10;45,59;46,1;45,5;45,98;1146511
2010-09-09;45,5;45,71;44,88;45,6;1539730
2010-09-08;44,4;45,39;44,25;44,96;1515441
2010-09-07;45,46;45,61;44,61;44,66;1854432
2010-09-06;44,01;45,64;44,01;45,56;2238638
2010-09-03;43,73;44,55;43,45;43,94;1937441
2010-09-02;43,1;43,76;43,05;43,42;2014321
2010-09-01;41,6;43,2;41,13;43,15;2144344
2010-08-31;41,39;41,39;40,52;41,22;957898
2010-08-30;42,3;42,39;41,23;41,68;1178569
2010-08-27;42,1;42,39;41,14;42,02;1217764
2010-08-26;41,11;42,37;41,11;42,27;1994484
2010-08-25;42,48;42,48;40,19;40,81;2150602
2010-08-24;42,53;42,75;41,2;41,58;2573864
2010-08-23;42;43,85;41,81;42,82;1495850
2010-08-20;42,8;43,28;41,78;42,01;1317644
2010-08-19;43,28;43,89;42,63;42,81;1085638
2010-08-18;43,98;44,04;43,1;43,21;1116011
2010-08-17;43,59;43,96;43;43,95;911387
2010-08-16;44,03;44,52;42,8;43,31;1321858
2010-08-13;42,65;44,05;42,4;43,69;1987414
2010-08-12;42,39;43,7;41,88;42,57;2167736
