Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;450,6;450,6;439,8;441,5;213407
2011-05-20;444;458,6;443,7;453,4;275558
2011-05-19;442,2;450,6;441;442;199507
2011-05-18;444,9;453,1;444;448,1;229990
2011-05-17;445,5;448;439,1;440,9;171150
2011-05-16;443,1;447,7;438,6;445,5;127145
2011-05-12;450;451,5;444,3;447,1;198721
2011-05-11;451;458;449,5;452;143600
2011-05-10;446,2;453,5;446,2;449,5;190304
2011-05-09;446,4;450,5;443,6;447;197027
2011-05-06;443,4;448;437,6;448;167418
2011-05-05;447,4;451,5;441,4;441,4;221790
2011-05-04;456,4;458,2;445,1;447,1;249685
2011-05-03;456,8;457,1;445;455,2;223543
2011-05-02;466,7;466,7;455,5;456,6;165650
2011-04-29;465;466,4;458,2;463;181353
2011-04-28;466,4;468,8;460,9;468,5;123569
2011-04-27;471,3;473,2;463,5;463,8;202913
2011-04-26;461;468,6;461;467,5;123623
2011-04-25;460;460;460;460;I/T
2011-04-22;460;460;460;460;I/T
2011-04-21;468;468;459;460;75706
2011-04-20;463,2;469,2;463,2;465;214356
2011-04-19;456;468,9;454;461,5;254756
2011-04-18;470;475;453,8;456,5;658495
2011-04-15;473,1;476,6;469,1;470,8;172070
2011-04-14;478;481,4;469,4;473;284274
2011-04-13;475;479;470,5;478,9;182716
2011-04-12;468;470,1;464,9;468,3;196340
2011-04-11;474,1;474,9;467,4;467,5;339000
2011-04-08;476,6;482;476,6;479,3;146290
2011-04-07;479,5;484,7;475,8;475,8;255467
2011-04-06;483,7;484,4;479,4;479,5;264855
2011-04-05;486,6;489,2;483;485;198754
2011-04-04;487,7;490,8;485,5;488,9;168482
2011-04-01;480;488;479,6;486;214570
2011-03-31;483;485,6;479,6;480;285811
2011-03-30;480,1;486,6;479,5;482,5;267815
2011-03-29;474;478,8;471,6;478,5;273678
2011-03-28;460,6;474,4;458;474,3;326381
2011-03-24;450,6;456,2;447,4;455;293509
2011-03-23;446;452;442,4;451,8;183624
2011-03-22;450,2;453;443,4;446,5;110058
2011-03-21;448,9;454,5;446;450;209106
2011-03-18;435,7;448,1;435,4;448,1;331997
2011-03-17;425,8;434,7;421,8;434,7;193447
2011-03-16;430,9;438,8;420,9;421,2;253319
2011-03-14;433;438,9;432,1;435;198347
2011-03-10;446,3;452,5;443,7;445,7;328303
2011-03-09;443,2;449,9;443,2;447,4;200972
2011-03-08;446;449;442;443;272399
2011-03-07;442,5;452;439,4;446,3;213487
2011-03-02;425;436,7;423;434,1;346916
2011-03-01;424,1;435,5;424;430,1;474810
2011-02-28;417;424,5;414,9;423,6;321142
2011-02-25;415,7;421;413;413,9;328874
2011-02-24;409,9;417;405,1;414,8;281580
2011-02-23;412,7;417,3;406,6;411,5;325184
2011-02-22;410,3;415,8;408,5;415,8;188277
2011-02-21;419,9;423;412;415,3;241487
2011-02-18;418,4;422,1;415;419,3;249766
2011-02-17;423,9;424,2;414,7;418;444844
2011-02-16;421,8;426,3;418,7;424,2;232904
2011-02-15;429;429;417,6;420,8;444451
2011-02-11;446,7;448,9;432,4;434,5;411737
2011-02-10;452,1;453,8;432,2;445;495190
2011-02-09;448;451,8;446,3;448;188461
2011-02-08;450;450,1;443,3;447,2;282057
2011-02-07;450,7;453,8;447,6;449;195536
2011-02-04;450;452,9;447;449,9;175954
2011-02-03;451,7;452,6;445,7;449;257225
2011-02-02;453,2;458,8;448,7;451,7;215763
2011-02-01;449,5;454;445,7;452,4;269306
2011-01-31;453,8;453,8;444,1;447,5;311633
2011-01-28;457,1;463;451,2;454,7;265725
2011-01-27;461,5;465,1;454,4;456;238653
2011-01-26;450,9;465;448,5;461,5;361504
2011-01-25;450;452,5;445,5;446,3;414816
2011-01-24;447,9;448,6;433;448,6;589408
2011-01-21;451,2;455;442,4;444,4;444877
2011-01-20;464,4;464,4;450;450;347405
2011-01-19;479,5;481,5;461,2;461,4;394546
2011-01-18;487,6;488;478,7;479;201159
2011-01-14;482,2;488;478,1;486,1;421693
2011-01-13;479,5;480,6;476,2;480;265388
2011-01-12;483;484,8;475,7;479,9;287061
2011-01-11;472,1;483,5;458,5;483,5;442602
2011-01-10;466;472;463,9;471,6;361169
2011-01-05;461,3;463;453,5;455,5;249869
2011-01-04;453;465;453;461,9;360696
2011-01-03;445;454;445;451,8;217146
2010-12-30;442,6;445,3;438,4;445;260280
2010-12-29;444;451,5;443,2;443,6;190110
2010-12-28;451,6;453;443,2;444,9;154464
2010-12-27;454,8;456;450;451,6;106124
2010-12-23;455,3;457,6;454;456;157893
2010-12-22;463,5;464,4;449;455,4;401268
2010-12-21;464,3;468,6;460,2;463,5;448674
2010-12-17;469,2;470,1;462,5;467,9;460399
2010-12-15;477,6;483,5;475,2;482,5;243700
2010-12-14;508,5;515;498,8;505,5;663659
2010-12-13;514;517,5;509,5;509,5;144203
2010-12-10;507,5;513;505;510,5;210650
2010-12-09;519;519;502,5;506,5;293881
2010-12-08;521,5;522,5;512,5;515;202782
2010-12-07;514;524,5;514;520;256539
2010-12-06;512;517,5;510;514,5;119032
2010-12-03;504;515;503,5;514,5;182818
2010-12-02;513,5;516,5;501;503;292110
2010-12-01;513;514,5;496;512;554448
2010-11-30;520;522;506,5;513,5;260376
