Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;70,25;70,55;69,05;69,1;7969597
2011-05-20;71;71,65;70,85;71,25;9500444
2011-05-19;70,55;71,25;70,1;70,85;8084578
2011-05-18;70,8;70,85;70;70,1;5912287
2011-05-17;70,7;71,4;70,35;70,35;8272593
2011-05-16;70,2;70,75;69,7;70,75;7584645
2011-05-12;69,7;70,6;69,45;70,6;9027377
2011-05-11;69,6;70,35;69,25;70,15;9448787
2011-05-10;68,95;69,8;68,75;69,55;8818404
2011-05-09;69,1;69,35;68,5;68,8;8706574
2011-05-06;68,85;70;68,35;69,35;10478352
2011-05-05;68,4;69,75;67,85;68,6;15335212
2011-05-04;68,95;69,45;67,8;67,9;13927269
2011-05-03;69,25;69,4;67,85;68,6;12839208
2011-05-02;69,05;69,55;68,7;69,2;4962051
2011-04-29;69,35;69,6;68,8;68,95;5983407
2011-04-28;69,4;69,5;67,9;69,25;13277038
2011-04-27;70,5;70,65;68,5;68,8;16051545
2011-04-26;70,7;71,1;70,4;70,8;9302018
2011-04-25;70,6;70,6;70,6;70,6;I/T
2011-04-22;70,6;70,6;70,6;70,6;I/T
2011-04-21;71,6;71,6;70,35;70,6;4485438
2011-04-20;70,2;71,4;70,1;71,2;6330963
2011-04-19;69,9;70,35;69,35;69,6;6605605
2011-04-18;70,95;71;69,45;69,8;10538609
2011-04-15;72,1;72,25;70,75;70,9;8903540
2011-04-14;72,65;72,85;71,45;72,05;7777687
2011-04-13;72,2;73,55;72;72,9;11874944
2011-04-12;71,45;72,05;71,2;71,95;10001966
2011-04-11;71,5;72,45;71,4;71,95;4825019
2011-04-08;71,9;72,45;71,45;71,9;5562331
2011-04-07;70,5;72,2;70,5;71,6;10169228
2011-04-06;70,1;71,1;69,55;70,8;8453694
2011-04-05;70,15;70,4;69,75;70,1;5822760
2011-04-04;70,3;71;70;70,5;5845948
2011-04-01;69,45;70,4;68,95;70,4;8769347
2011-03-31;69,3;69,75;68,8;69,1;8218926
2011-03-30;69,2;69,5;68,8;69,45;8386358
2011-03-29;69,25;69,35;68,55;68,75;9762437
2011-03-28;67,75;69,4;67,7;69,25;10284728
2011-03-24;69,75;70,4;69,25;70,4;9067340
2011-03-23;68,8;69,75;68,5;69,75;8921789
2011-03-22;69,1;70;68,9;69,15;8739522
2011-03-21;69;69,3;68,4;68,9;8046969
2011-03-18;67,6;68,95;67,25;68,1;36752661
2011-03-17;65,75;66,7;65,3;66,55;13575351
2011-03-16;67,35;67,35;64,9;64,95;18644019
2011-03-14;68,95;69,95;68,6;68,8;9342003
2011-03-10;70,15;70,95;69,85;70,3;9990949
2011-03-09;70,95;71,25;70,4;70,5;7387415
2011-03-08;71,05;71,85;70,6;70,7;6892258
2011-03-07;69,65;71,4;69,55;70,85;9864704
2011-03-02;71;71,35;70,35;70,75;12653433
2011-03-01;72,45;72,85;71,45;71,45;11269983
2011-02-28;71,3;72,6;70,9;72;35175321
2011-02-25;71,55;72,05;70,95;71,6;8680437
2011-02-24;70,9;71,6;70,3;71;9723338
2011-02-23;71,2;71,95;70,95;71,35;10180437
2011-02-22;71,5;72,45;71,15;71,7;9365341
2011-02-21;72,45;72,8;71,45;71,8;11276171
2011-02-18;72,25;73,05;72;72,4;11326429
2011-02-17;73,75;74;71,9;72,15;17222231
2011-02-16;72,75;73,9;72,55;73,45;13594780
2011-02-15;72,75;73,8;72,1;72,35;13044980
2011-02-11;72,85;74,1;72,35;74,1;12879286
2011-02-10;73,9;74,05;72,3;72,75;15400718
2011-02-09;73,75;74,25;73,65;74,05;11263415
2011-02-08;75;75;73,55;73,75;17209625
2011-02-07;74,65;75,55;74,3;74,9;18723355
2011-02-04;75,2;76,7;74,15;74,35;60171608
2011-02-03;78,4;79,05;77,35;78,4;15809370
2011-02-02;81,4;81,6;77,4;77,75;19558820
2011-02-01;78,3;79,6;77,4;79,6;7858593
2011-01-31;78,3;78,95;77,3;78,3;6849525
2011-01-28;78,9;80,25;78,3;78,45;9522474
2011-01-27;77,75;79,4;77,75;78,95;6910303
2011-01-26;77,5;78,35;76,05;78,35;8827151
2011-01-25;78,1;78,15;76;76,7;7925935
2011-01-24;78;78,3;76,5;78,1;6635647
2011-01-21;77,35;78,65;76,6;77,65;9647193
2011-01-20;78,4;79,55;76,95;76,95;15142391
2011-01-19;78,8;79,8;77,95;78,5;13626263
2011-01-18;76,6;79,35;76,5;78,8;12674317
2011-01-14;75,05;76,65;74,9;76,25;7888615
2011-01-13;74,75;75,65;74,25;75,35;10036728
2011-01-12;73,9;74,8;73,5;74,4;7425731
2011-01-11;72,55;73,85;71,95;73,85;7871476
2011-01-10;72,6;72,7;71,9;72;6663513
2011-01-05;73,7;73,9;72,5;73;3171495
2011-01-04;74,7;74,7;73,7;73,7;6266755
2011-01-03;73,9;74,45;73,65;74,4;2601296
2010-12-30;74,1;74,2;73,15;73,15;3514725
2010-12-29;74;74,6;73,65;74,05;3141831
2010-12-28;73,9;74,05;73,5;74;1897445
2010-12-27;73,8;73,8;73,2;73,7;1472340
2010-12-23;73,65;74;73,55;73,8;2377639
2010-12-22;73,7;74,1;73,4;73,6;3446993
2010-12-21;73,8;74,4;73,45;73,85;4400407
2010-12-17;73,75;74,1;73,35;73,8;6386967
2010-12-15;73,4;74,6;72,65;74,45;11478936
2010-12-14;72,3;73,4;71,9;73,4;6227284
2010-12-13;72,5;73,1;72,2;72,35;4634905
2010-12-10;72,3;72,65;71,65;72,35;5591422
2010-12-09;72,9;73,05;72;72,5;8458991
2010-12-08;71,25;72,6;71,2;72,3;7557804
2010-12-07;71,35;72,2;71,1;71,65;6608780
2010-12-06;72,15;72,35;71,1;71,45;4245280
2010-12-03;72,45;72,65;71,1;72,1;7264346
2010-12-02;72,7;72,75;70,95;72,75;9318816
2010-12-01;70,4;72,3;70,1;72,25;9910035
2010-11-30;69,6;70,4;68,5;70,05;11664581
2010-11-29;71,45;72,2;69,45;69,75;10573781
2010-11-26;70,3;71,05;69,5;70,5;8609211
2010-11-25;69,9;70,85;69,45;70,75;4802642
2010-11-24;69,2;70,1;68,2;69,65;7629830
2010-11-23;70;70,15;68,75;68,95;8433695
2010-11-22;72,15;72,35;70,1;70,45;5577709
2010-11-19;72,35;72,35;71,1;71,65;7017237
2010-11-17;70;70,65;69,8;70,15;6279086
2010-11-16;71;71,15;69,75;70,15;8058704
2010-11-15;70,7;71,85;70,65;71,7;5480947
2010-11-11;72,4;72,45;70,75;71,35;10086791
2010-11-10;72,45;72,45;71,55;72;6713736
2010-11-09;72,1;72,85;71,85;72,35;6378591
2010-11-08;73;73,05;71,7;72,25;5217758
2010-11-05;73,6;74,15;71,8;72,4;4280913
2010-11-04;72,75;73,95;71,85;73,4;8743586
2010-11-03;73,5;73,5;71,25;71,4;8065874
2010-11-02;73;73,35;72,35;72,95;7285061
2010-10-29;73,75;74,35;73,05;73,55;7723408
2010-10-28;75,2;75,65;73,55;73,8;8481017
2010-10-27;76;76,35;74,8;75,15;15090881
2010-10-26;73,3;73,6;72,45;73,35;7938072
2010-10-25;73,95;74;73,3;73,5;4047475
2010-10-22;73,9;74,05;73,4;73,5;4317210
2010-10-21;73,15;74,1;72,7;73,75;7365832
2010-10-20;73,5;73,55;72,25;73,15;7247528
2010-10-19;74;75,5;73,6;73,6;10692098
2010-10-18;72,6;74,25;72,5;74;5103777
2010-10-15;73,25;73,45;72,05;72,9;7113894
2010-10-14;74,35;74,35;72,75;73,1;7305937
2010-10-13;73,25;74,25;72,85;73,9;7494017
