Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;115,7;115,7;113,3;113,3;4122293
2011-05-20;117,3;118,3;116,5;116,7;3340076
2011-05-19;115,8;117,6;115,4;117,2;4246519
2011-05-18;115,9;116,2;114,9;115;3054916
2011-05-17;117;117,2;115,1;115,1;4110556
2011-05-16;115,3;117,4;114,6;117,4;3664893
2011-05-12;116,7;117,1;115,1;115,7;4520956
2011-05-11;117;118,5;116,7;117,8;4561749
2011-05-10;116,8;118,3;116,6;117;4118268
2011-05-09;116,8;118,4;115,6;116,6;3437780
2011-05-06;116,8;117,9;114,5;117;8217590
2011-05-05;119,6;119,6;116,6;116,9;4888692
2011-05-04;120;121,3;118,5;118,7;7852887
2011-05-03;125,3;127;120,2;122,6;12125380
2011-05-02;129;129,2;124,7;125,5;4593040
2011-04-29;125,7;128,2;125,2;128,2;2705095
2011-04-28;125,6;125,7;124,1;125,7;3705850
2011-04-27;125,7;126,3;124,4;124,7;2816160
2011-04-26;123,9;125,7;123;125,7;2980296
2011-04-25;123,9;123,9;123,9;123,9;I/T
2011-04-22;123,9;123,9;123,9;123,9;I/T
2011-04-21;125,4;125,4;123,9;123,9;1985407
2011-04-20;122;125,3;121,8;124,6;5148408
2011-04-19;119,6;121,4;117,8;120,8;5796877
2011-04-18;118,5;119,8;116;116,5;3417454
2011-04-15;118,9;119,6;117,7;117,9;2469308
2011-04-14;118;118,9;116,6;118,9;3871689
2011-04-13;118,6;119,1;118,1;118,4;2358046
2011-04-12;119,7;120;117,6;117,8;3361149
2011-04-11;121,4;122,3;120,4;120,6;3136903
2011-04-08;121,8;122,6;121;122,3;2885440
2011-04-07;122,5;123,4;121;121;3863119
2011-04-06;122,5;123,5;121,8;122,8;4089056
2011-04-05;121,3;122,6;120,9;122,2;4890126
2011-04-04;120,5;122;120,2;121,4;2888795
2011-04-01;119,9;120,6;118,8;120,4;4029455
2011-03-31;119,1;120,2;118,7;119,1;4310795
2011-03-30;119,7;121,3;119,1;119,2;5064942
2011-03-29;119,4;119,6;117,2;118,5;3447663
2011-03-28;118,6;119,7;117,6;119,7;2572355
2011-03-24;115,8;119,8;115,4;119,8;4517583
2011-03-23;115,8;116,5;114,6;115,9;3563282
2011-03-22;117,9;118,3;114,8;116,1;4882543
2011-03-21;117,6;118,3;116,6;117,5;3651808
2011-03-18;114,9;116,5;114,3;115,5;6544712
2011-03-17;112,7;114,8;112,5;114;5366103
2011-03-16;113,4;116,5;112,3;112,4;7318648
2011-03-14;115,3;117;115,1;115,5;5807026
