Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;97,25;97,6;95,95;96,25;2220918
2011-05-20;96,8;98,1;96,8;98,05;5806822
2011-05-19;97,6;97,9;96,4;96,65;1600839
2011-05-18;96,6;97,25;96,5;97;2826983
2011-05-17;95,45;96,3;94,75;96,15;1973578
2011-05-16;95,05;95,75;94,1;95,6;2296977
2011-05-12;95,7;96,3;95,15;95,45;2612245
2011-05-11;96,2;96,7;95,8;96,4;2303283
2011-05-10;96,1;96,55;95,5;95,85;2453917
2011-05-09;97,15;97,4;95,75;96,05;1866630
2011-05-06;97,05;97,65;96,45;97,15;2836592
2011-05-05;97,05;97,4;96,15;97,05;2889021
2011-05-04;94;96,9;93,15;96,4;4613531
2011-05-03;94,25;94,5;93,45;93,85;3499312
2011-05-02;93,45;94,65;92,9;94,2;3521154
2011-04-29;97,75;98,55;91,4;92,6;8054587
2011-04-28;96,4;97,2;95,7;97,2;2916019
2011-04-27;94,5;96;94,35;95,6;2949783
2011-04-26;95,3;95,3;94,2;94,5;1921899
2011-04-25;95,15;95,15;95,15;95,15;I/T
2011-04-22;95,15;95,15;95,15;95,15;I/T
2011-04-21;95,4;95,8;95,1;95,15;576742
2011-04-20;95,45;96,15;95;95,2;2185790
2011-04-19;95,3;95,9;95;95,1;1673146
2011-04-18;96,6;96,65;95,25;95,25;4350733
2011-04-15;97,4;97,5;96,1;96,5;1659315
2011-04-14;95,7;97,9;95,45;97,85;3268340
2011-04-13;96,35;96,65;95,05;95,45;3849531
2011-04-12;97,75;98,15;96;96,15;1698006
2011-04-11;98,6;99;97,25;97,85;2029329
2011-04-08;99,55;99,7;98,6;98,8;3389356
2011-04-07;103,7;104,3;102,8;103;2708609
2011-04-06;103,6;103,8;102,6;103,7;1901096
2011-04-05;104,3;104,4;103,2;103,4;2019943
2011-04-04;102,7;104,2;102,2;104,1;1512408
2011-04-01;102;103,1;101,2;103,1;1895273
2011-03-31;101,1;102,1;101,1;101,6;1847719
2011-03-30;102,1;102,7;101,1;101,2;2996683
2011-03-29;101,5;102,7;101,3;102,7;2076007
2011-03-28;103,5;103,5;101,3;101,3;3678479
2011-03-24;103,9;104;102,8;103,4;2236116
2011-03-23;102,6;104,2;102,4;103,5;3670603
2011-03-22;103,1;103,1;101,5;102,8;2399365
2011-03-21;103,7;104,4;102,2;103;2902552
2011-03-18;102,4;103;102;103;2152819
2011-03-17;101,2;102,2;100,6;101,9;1995515
2011-03-16;101,7;102,4;100,4;100,4;4762982
2011-03-14;103,2;103,9;102,6;103,5;1472721
2011-03-10;105,3;106,9;104,9;105,5;2073679
2011-03-09;105,8;106,4;105,5;105,7;1472143
2011-03-08;104,7;106,4;104,6;105,5;2889885
2011-03-07;102,7;104,2;102,4;103,9;2587128
