Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;151;151,2;147,9;149,3;1118684
2011-05-20;153,6;154,1;151,9;152,6;873098
2011-05-19;152,8;153,6;152,3;153,4;1008216
2011-05-18;154;154,4;152;152;737173
2011-05-17;154,9;156,4;153,3;153,3;800162
2011-05-16;154;156,2;153,6;155,8;908066
2011-05-12;153,2;155;152,3;152,8;1538655
2011-05-11;157,4;158;154,5;155;1416284
2011-05-10;155,7;159;155,7;157,4;2149186
2011-05-09;149,9;164,8;149;155,5;6443781
2011-05-06;148,4;150,8;145,7;150;1320600
2011-05-05;151;153,2;150;153,2;1334008
2011-05-04;151,7;152,5;150,1;150,4;1304363
2011-05-03;154,2;154,2;150,8;151,7;1312456
2011-05-02;157,5;157,7;153,1;154,4;956588
2011-04-29;151,5;157,1;151,2;157;1868588
2011-04-28;148,7;152,2;146,5;152;1979024
2011-04-27;155;156;145,1;148;2918449
2011-04-26;150;151,4;147,6;151;1179943
2011-04-25;147,6;147,6;147,6;147,6;I/T
2011-04-22;147,6;147,6;147,6;147,6;I/T
2011-04-21;147,8;149,3;147,1;147,6;625851
2011-04-20;145,9;148,4;145,6;147,8;1102350
2011-04-19;140,2;145,4;140,2;144,1;831648
2011-04-18;141,7;142,9;139,2;139,4;691431
2011-04-15;143;143,2;141,3;141,9;914583
2011-04-14;143,4;144,7;141,9;142,9;953692
2011-04-13;142,6;145,2;142,6;143,8;1364458
2011-04-12;144,5;144,6;141,8;142,3;1065827
2011-04-11;145,6;146,4;144,6;145;749548
2011-04-08;146,7;147,4;145,7;146,5;758416
2011-04-07;147,8;148,3;145,7;145,7;1030700
2011-04-06;147,5;148,4;146,8;148,3;805957
2011-04-05;147,8;148,9;145,5;147,5;1315201
2011-04-04;148,2;148,7;147;148,4;634734
2011-04-01;147,2;148,8;145,1;148;1101270
2011-03-31;146,3;149,4;145,5;146,3;1373167
2011-03-30;142,5;145,9;141,9;145,6;1186929
2011-03-29;141,9;141,9;140;141,1;881840
2011-03-28;140;141,5;138,8;141,5;761125
2011-03-24;138,4;141,9;137,3;141,9;1106817
2011-03-23;136,7;138,4;135,2;138,4;952781
2011-03-22;138;138,1;136;137,7;827575
2011-03-21;136,8;137,9;135,8;137,9;1155912
2011-03-18;132,3;136,4;132,2;134,3;3050322
2011-03-17;129,2;130,8;128,6;130,5;1732512
2011-03-16;130;132,1;127,5;128;2355517
2011-03-14;132,2;134;131,9;132,6;873972
2011-03-10;137,5;139,1;136,5;137,3;1235228
2011-03-09;138,4;140,8;137,1;138,4;1398552
2011-03-08;139,4;141;137,8;138,4;1230836
2011-03-07;136,1;140,5;135;139,2;2453555
2011-03-02;138,5;139,3;135,5;135,5;2341200
2011-03-01;141,6;142;138,5;139;2282924
2011-02-28;138,3;141,6;137;141,2;1484517
2011-02-25;136,7;138,5;135,4;138;1375795
2011-02-24;132,5;136,7;131,9;136;1436790
2011-02-23;135,3;135,9;131,6;134,3;1743326
2011-02-22;135;137,8;132,8;136,1;2040777
2011-02-21;136,1;138,4;134,6;136;1847617
2011-02-18;132,9;136,6;130,9;135,9;1372065
2011-02-17;136,5;136,5;131,8;132,5;1684888
2011-02-16;133,9;136,6;133,9;135,4;1473553
2011-02-15;137,2;137,4;133,6;133,8;1626672
2011-02-11;136,7;139;134,4;139;1677088
2011-02-10;136;137;135;136,7;1239720
2011-02-09;138,4;138,7;136,2;136,2;1216302
2011-02-08;141;141,2;137,4;137,5;2213956
2011-02-07;140,3;141,7;139,7;141;929922
2011-02-04;140,9;142,3;139,9;140;2525860
2011-02-03;142;143,3;139,3;140,9;3004779
2011-02-02;144,3;146,6;133,5;140,7;7224418
2011-02-01;145,9;147,8;143,1;143,5;1381387
2011-01-31;144,6;146,1;143;144,8;1397768
2011-01-28;150,5;150,5;145;145;1815835
2011-01-27;150,2;152,2;146,1;146,2;1593747
2011-01-26;148,5;151,5;147,7;150,2;1249214
