Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;205,7;206,7;203,3;203,3;1627786
2011-05-20;208;210,2;207;207,6;1700673
2011-05-19;207,3;209,8;206,7;207;1428393
2011-05-18;208;208,1;206,6;206,7;971302
2011-05-17;208,5;209,9;207;207;1162410
2011-05-16;207,6;209;207,3;209;946874
2011-05-12;208,7;210;207,7;209,8;917437
2011-05-11;209,2;210;207,9;209,5;893988
2011-05-10;206,7;209;206,5;208,9;1190542
2011-05-09;207,7;208,6;206,1;206,8;950411
2011-05-06;208,8;209,4;206,7;208,8;964427
2011-05-05;208;208,9;206,5;208,1;1207195
2011-05-04;208,9;209,9;206,8;207,9;1282820
2011-05-03;210,1;210,6;207,7;208,8;1617361
2011-05-02;210,1;212;209,5;210,7;971465
2011-04-29;208,4;209,7;207,9;209,7;1253430
2011-04-28;211,6;212;203,6;208,1;3910639
2011-04-27;214;214,5;206,5;210,9;3557160
2011-04-26;216,3;219,7;215,2;219;1323988
2011-04-25;215,8;215,8;215,8;215,8;I/T
2011-04-22;215,8;215,8;215,8;215,8;I/T
2011-04-21;217;217,4;215,8;215,8;402070
2011-04-20;212,7;217,3;212,4;217,1;1224079
2011-04-19;211,3;213,2;210,1;211,1;810053
2011-04-18;213,1;213,7;210,1;211,3;1294848
2011-04-15;215,1;215,8;212,6;214;1288789
2011-04-14;213,7;215,4;212,5;215;1757147
2011-04-13;214,6;216,4;212,9;214,2;1761373
2011-04-12;213,3;215,7;212,4;213,5;1311549
2011-04-11;213,7;218,1;213,3;215,3;1245622
2011-04-08;211,3;213,9;210;213,9;1202271
2011-04-07;208,7;212,4;208,7;210,1;1534097
2011-04-06;207,1;210;206,1;209,2;1578555
2011-04-05;208,3;208,5;206,5;207,8;1072118
2011-04-04;209,4;210,6;208;209,1;877304
2011-04-01;207;211,2;206,9;209,7;2382230
2011-03-31;206,3;207,5;205;207;1665714
2011-03-30;207,1;208;205,5;206,1;1460455
2011-03-29;206;206,7;205;205,7;1554388
2011-03-28;207;209;205,4;208,3;1019028
2011-03-24;202,8;204,8;202,7;204,8;1994282
2011-03-23;211,4;213;210,8;212,8;1334716
2011-03-22;210,9;212,9;210,5;212,2;1152428
2011-03-21;209,1;211;209,1;210,6;1071341
2011-03-18;205,4;209;205;208,3;2523389
2011-03-17;200,1;204,2;199,5;204,2;1999609
2011-03-16;203,3;203,8;199,5;199,5;2383945
2011-03-14;206,7;209,4;206,6;207,5;1893313
2011-03-10;210,4;212,5;209,1;209,7;2195455
2011-03-09;210,9;212;210,2;210,9;1395943
2011-03-08;209,2;211;209,2;210,1;1104314
2011-03-07;206,4;210,7;205,2;208,4;2078291
2011-03-02;210,7;210,9;207,3;207,6;1894290
2011-03-01;214;215,1;211,4;211,5;1160162
2011-02-28;214,2;214,8;211,5;213,8;1480623
2011-02-25;209,5;214,6;208,2;213,9;1485417
2011-02-24;207,2;210;206,4;208,6;1336031
2011-02-23;208,2;209,5;207,2;208,5;1565883
2011-02-22;209,2;210,2;208,1;209;1725731
2011-02-21;210,5;211,5;209,2;210,4;1089046
2011-02-18;210,7;211,6;208,8;210,7;1415042
2011-02-17;212,4;213;207,4;210,1;2272615
2011-02-16;213;213,5;210,9;211,6;1664796
2011-02-15;214;214,7;209,4;211,5;2389273
2011-02-11;212,6;214,5;212;214,2;1821674
2011-02-10;214,4;215,3;211,2;212,3;2098389
2011-02-09;216,9;218;211,9;214,6;3386725
2011-02-08;217,8;220,2;217,2;218,7;2884666
2011-02-07;217,2;219,5;215,1;216,4;1284004
2011-02-04;218;220,1;215,1;217,1;1786667
2011-02-03;219,3;220,4;217,6;217,9;1178746
2011-02-02;222,2;224,3;218,9;219,5;2190533
2011-02-01;219,8;221,7;216,8;221,7;1618753
2011-01-31;218,9;220,8;217,3;219,7;999226
2011-01-28;223,5;224,4;219,5;219,5;1296598
2011-01-27;222,3;224,9;222,1;223,5;1419730
2011-01-26;218;224,3;216,5;223,2;1845424
2011-01-25;219,6;220;214,6;216,8;1319684
2011-01-24;217,9;219,1;215,1;219,1;1148414
2011-01-21;218,4;219,6;216,1;217,1;1912152
2011-01-20;222,6;225;218;218,1;1859948
2011-01-19;222,4;226;221,8;222,2;1580256
2011-01-18;221,3;225,8;221,1;223,6;1312748
2011-01-14;219,7;222,6;218,6;222,5;1400705
2011-01-13;225;225,4;218;220,1;2517721
2011-01-12;223;224,4;222;224,4;1196075
2011-01-11;222,1;224,5;221,5;222,1;1444437
2011-01-10;223;224,6;221,3;221,4;2177980
2011-01-05;220,5;220,9;219;220,2;704055
2011-01-04;219,4;221,1;218,8;220,4;1317275
2011-01-03;217,3;219,1;216,7;218,7;665975
2010-12-30;217,1;217,3;214,9;214,9;772558
2010-12-29;217,5;218,3;216,8;217,1;608763
2010-12-28;218,4;218,8;217,2;217,6;339752
2010-12-27;217,3;218,3;217,3;218,3;322825
2010-12-23;218,1;218,7;217,9;218,5;405780
2010-12-22;217,9;219;216,5;218,1;806769
2010-12-21;216,3;217,6;216,3;217,6;1196486
2010-12-17;215,7;216,2;214,7;215,8;1465963
2010-12-15;213,8;217,7;213,2;216;1471078
2010-12-14;212,7;214,8;211,7;214,8;937167
2010-12-13;212,2;213,7;212,2;212,7;1169065
2010-12-10;213,7;214,6;212,6;212,8;1616119
2010-12-09;215,1;216;213,2;213,6;1551970
2010-12-08;213,3;214,6;212,9;214,6;971924
2010-12-07;213,8;214,8;213,1;214;1498113
2010-12-06;214,8;215,4;212,3;213,9;1280223
2010-12-03;217;217,2;212,9;215,4;1663629
2010-12-02;215;217,7;212,5;217,7;1926380
2010-12-01;211;214,8;210,4;214,3;1721742
2010-11-30;209,7;211;208,4;210;2463616
2010-11-29;210,5;212,7;209,7;210,1;1602725
2010-11-26;209,8;210,4;207,6;209,4;1382824
2010-11-25;209,9;211;209,6;210,5;954429
2010-11-24;208,8;210,1;205,4;209,9;1918587
2010-11-23;212;212,8;208,7;209;1809162
2010-11-22;217,5;218,3;212,2;212,5;1193443
2010-11-19;216,2;217,4;214,3;216,6;1074806
2010-11-17;211,3;213,8;210,5;212,5;1158506
