Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;113,1;113,5;112,1;112,7;2605824
2011-05-20;114;115,5;113,8;113,9;1224826
2011-05-19;113,5;114,4;113;113,8;1328398
2011-05-18;113,3;113,7;112,9;113;1986368
2011-05-17;114,4;115;112,8;112,8;2514953
2011-05-16;114,7;115;113,7;115;1303241
2011-05-12;115;115,5;114,1;114,8;2258943
2011-05-11;116,3;116,3;115,1;115,1;2815588
2011-05-10;115,9;117,1;115;116,5;4732970
2011-05-09;121,5;122,2;120,3;121,2;2915235
2011-05-06;123,6;123,6;120,4;121,5;3711949
2011-05-05;120;122,9;117,6;122,9;8224898
2011-05-04;130,5;130,8;127,8;128,4;1965680
2011-05-03;132,2;132,2;129,5;130,2;1558835
2011-05-02;130,9;131,9;130,4;131,7;1599758
2011-04-29;128,3;130;128;129,8;1335442
2011-04-28;129;129,1;127,4;128,3;1079160
2011-04-27;129,1;129,4;127,7;128,2;1372663
2011-04-26;127;129;126,6;129;1507162
2011-04-25;126,2;126,2;126,2;126,2;I/T
2011-04-22;126,2;126,2;126,2;126,2;I/T
2011-04-21;126,3;126,6;125,4;126,2;363240
2011-04-20;124,8;126;124,6;125,7;1624912
2011-04-19;124;124,9;123,5;124,2;1682973
2011-04-18;126,2;126,3;123,3;123,9;1313718
2011-04-15;126,5;127,1;125,9;126,3;1006122
2011-04-14;127;127,8;126,3;126,8;1475756
2011-04-13;128,1;128,6;127,3;127,3;1504934
2011-04-12;129,6;130;127,8;128;1005047
2011-04-11;130;130,6;129,4;129,9;1240639
2011-04-08;130,8;131;129,8;130,6;1190959
2011-04-07;130,8;131;129,7;130,7;1671023
2011-04-06;130,5;130,9;129,3;130,9;2688447
2011-04-05;137,2;137,2;135,9;136,3;2349256
2011-04-04;136,4;137,5;135,8;137,3;2011154
2011-04-01;133;135,5;133;135,5;1740119
2011-03-31;133;133,3;132,2;132,9;1489776
2011-03-30;132,1;133;132;132,8;1391084
2011-03-29;131,1;131,7;130,5;131,6;1309685
2011-03-28;130,1;131,5;130;131;925112
2011-03-24;128;130,1;127,7;130,1;1506254
2011-03-23;126,6;128;126,2;127,9;1085084
2011-03-22;128;128,4;126,4;126,9;958273
2011-03-21;126,7;127,9;126,5;127,5;1746579
2011-03-18;124,6;125,4;123,3;125,3;2055414
2011-03-17;121,1;123,7;121;122,9;1645011
2011-03-16;124,3;124,8;120,8;120,8;2115460
2011-03-14;125,8;126,8;124,7;125,6;1478145
2011-03-10;127,8;130,4;127,3;127,7;1808560
2011-03-09;128,6;130;128;128,5;1138350
2011-03-08;127,5;128,7;127,4;128,2;1090493
2011-03-07;126,9;128,4;125,8;127,5;1906640
2011-03-02;128,5;129,3;126,3;126,7;1718226
2011-03-01;130,4;131,3;129,1;129,3;1249596
2011-02-28;126,6;130,3;126,5;130,1;1962548
2011-02-25;127,1;127,6;126,3;126,3;1526596
2011-02-24;124,5;127,5;123;126,5;1363601
2011-02-23;126,5;127,2;124,5;125,1;1413096
2011-02-22;126,9;127,9;126,1;127;1255885
2011-02-21;128,2;128,6;126,8;127,5;955983
2011-02-18;126,9;128,1;126,3;128,1;1289643
2011-02-17;128,5;130;125,6;126,4;1976290
2011-02-16;128,2;128,5;126,8;128,2;1216205
2011-02-15;130;130,3;127,7;128,1;1100776
2011-02-11;128,6;130,3;127,1;130,3;1476609
2011-02-10;129,4;130,4;127,7;129,2;1879324
2011-02-09;126,8;131,6;125,4;131,2;2119511
2011-02-08;130;130;125,4;126,3;1906097
2011-02-07;129,9;130,8;128,7;129,5;1134870
2011-02-04;128;129,6;127,7;129,3;1231157
2011-02-03;127,3;128,9;126,4;128;1308329
2011-02-02;130,2;131,6;126,1;126,3;2216848
2011-02-01;130,9;131;128,8;130,1;1170922
2011-01-31;130;131,3;129;130,6;1517929
2011-01-28;132,8;133;130,3;130,5;1079816
2011-01-27;132,6;133,6;132,1;132,8;942102
2011-01-26;131,1;133,4;130,3;132,6;1134952
2011-01-25;131,5;132,6;129,6;130,4;1690478
2011-01-24;132,4;132,5;130,1;131,2;1145070
2011-01-21;131,5;132,8;130,6;131,5;1311154
2011-01-20;133,6;134;130,4;130,4;1649558
2011-01-19;136,8;136,9;133,2;133,2;1577703
2011-01-18;135,8;136,9;135,6;136,8;955218
2011-01-14;137;138;135,4;136,2;1328711
2011-01-13;137;137;135,1;136,6;882594
2011-01-12;137;138;135,8;136,1;1359768
2011-01-11;134,9;136,7;134;136,7;1393314
2011-01-10;134,5;135;133,5;134;1411484
2011-01-05;134,5;134,7;132,1;133;1160481
2011-01-04;135,7;136,4;134,1;134,1;2104433
2011-01-03;133,9;135,4;133,8;135,4;1109941
2010-12-30;134,3;134,9;133,3;133,3;1459516
2010-12-29;135;136,7;133,9;133,9;2528167
2010-12-28;131;131,3;130,5;131;430899
2010-12-27;131,7;131,7;130,3;130,8;584438
2010-12-23;130,7;131,7;129,9;131,7;666465
2010-12-22;131,5;131,7;130,5;130,5;578530
2010-12-21;130,7;132,3;130,6;132;1024245
2010-12-17;129;130,2;128,5;129,5;1784685
2010-12-15;128,4;128,7;127,3;128,3;1006264
2010-12-14;128,2;128,7;127,3;128,7;1388285
2010-12-13;127;128,7;127;128;1707117
2010-12-10;126,9;127,9;125,1;126,3;2788377
2010-12-09;129,5;129,5;126,1;127,1;4510393
2010-12-08;132;133;130,4;131,2;1916330
