Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;183,1;183,4;180,8;181,1;1878063
2011-05-20;186,1;187,4;185,2;185,3;1478386
2011-05-19;184,7;186,1;183,5;185,6;1993922
2011-05-18;185,5;186,2;183;183,4;2123682
2011-05-17;186,7;188;184,3;184,4;1787355
2011-05-16;185;187,1;184,2;187,1;1458251
2011-05-12;187,3;188,2;185,5;186,2;1502367
2011-05-11;185,6;189,2;185,2;188,7;2768800
2011-05-10;185,8;186,6;184,8;185,6;2177905
2011-05-09;184,5;187,4;183,8;185,7;1806934
2011-05-06;185,6;186,1;182,2;185;2227941
2011-05-05;185,6;186,7;183,1;184,9;1958526
2011-05-04;188,3;189,8;185,4;185,5;2145528
2011-05-03;189,4;189,9;185,9;189;2159473
2011-05-02;191,3;192,3;188,3;190;1622609
2011-04-29;189;191,3;188,6;190,7;1522111
2011-04-28;194,5;195;192;194;2805514
2011-04-27;195,2;195,4;192,1;194;2450010
2011-04-26;193,3;195,2;191,6;194,5;1935761
2011-04-25;193,2;193,2;193,2;193,2;I/T
2011-04-22;193,2;193,2;193,2;193,2;I/T
2011-04-21;192,6;193,4;190,9;193,2;1074993
2011-04-20;188,5;192;188,5;191,3;3050866
2011-04-19;186;188,3;182,7;186,9;6134468
2011-04-18;180,2;181,5;175,1;175,6;3087107
2011-04-15;180,7;181,5;179,6;179,9;1829407
2011-04-14;180,1;181,2;177,8;180,8;2119590
2011-04-13;180,9;182,5;180,1;180,5;2438130
2011-04-12;182,8;184,3;179,6;179,6;2699588
2011-04-11;183,6;185,8;182,8;185,8;1653236
2011-04-08;185,5;185,7;183,5;185;1465460
2011-04-07;188;188,8;183,9;183,9;2402999
2011-04-06;185,9;188,7;185,3;188,7;2368766
2011-04-05;187,7;188,8;185;185,9;2049270
2011-04-04;186,7;188,7;186,2;188,1;1286468
2011-04-01;184,5;186,8;182,6;186,8;1728637
2011-03-31;183,5;185;183;183,8;1940854
2011-03-30;183,3;184,6;182,6;183,5;1548529
2011-03-29;181,4;181,8;179,7;181,8;1615219
2011-03-28;180,1;182;180,1;181,7;1279829
2011-03-24;177,6;182;177,4;182;1936905
2011-03-23;178,4;179,6;176,9;178;1884048
2011-03-22;182;182,3;177;178,8;2731090
2011-03-21;177;181,2;176,7;181,2;3386340
2011-03-18;171,7;176,9;171,2;174,6;4588694
2011-03-17;172,1;173,5;170,3;170,5;4000150
2011-03-16;166;173,9;165,6;170,1;7700238
2011-03-14;169,1;172,5;168,4;169;2067675
2011-03-10;175,3;175,8;173;173,2;2446729
2011-03-09;174,4;179,3;173,8;176,5;2250346
2011-03-08;173,5;175,6;172,3;173,9;1460466
2011-03-07;172;175,8;171;173,3;2133710
2011-03-02;172,6;174,4;170,8;170,8;3022523
2011-03-01;177,5;178,2;174,1;174,1;4369555
2011-02-28;171,6;177,8;171;176,5;3885256
2011-02-25;167,9;171;166,6;170,4;2443841
2011-02-24;162,3;169,8;161,1;166,9;4518259
2011-02-23;166,5;167;162,3;164,4;3573120
2011-02-22;166,7;169;164,8;167,8;3331161
2011-02-21;165;169,2;164,5;168,2;2916466
2011-02-18;165,2;167;163,1;165,4;2278072
2011-02-17;169,7;169,9;162,7;165,3;3410389
2011-02-16;166,4;170,4;166,4;168,6;2023731
2011-02-15;170,1;170,5;166;167,6;3148670
2011-02-11;164,5;170,5;163,2;170;3819898
2011-02-10;166,1;166,1;163,3;164,2;2783751
2011-02-09;166,9;167,8;165,4;166,3;2003648
2011-02-08;171;173,2;165,2;166,8;6055934
2011-02-07;171,3;172,6;170;171;2641561
2011-02-04;169,7;172,7;169,2;170,8;3472794
2011-02-03;168,2;171;164,7;169,7;6334497
2011-02-02;170,4;170,5;165,1;167,5;9100387
2011-02-01;185;188,6;169,5;169,5;13543046
