Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;123,6;123,7;121,4;121,9;2457170
2011-05-20;123,9;124,9;123,9;124,5;2418247
2011-05-19;124,9;125,1;123,4;123,6;2949546
2011-05-18;123,6;125,3;123;124;5130774
2011-05-17;125,5;130,2;122,6;122,8;7064902
2011-05-16;151,8;152,8;150,2;152,6;2808063
2011-05-12;155;155,3;153,5;154,6;1682646
2011-05-11;155,4;156,2;155;155,7;1916315
2011-05-10;155;155,3;153,9;155,3;1831634
2011-05-09;154,3;154,8;153;154,8;1467841
2011-05-06;153,1;154,4;152,1;154;1498511
2011-05-05;153,9;154,3;152,8;153,2;1704359
2011-05-04;154;154,3;152,8;153,5;1622786
2011-05-03;154,5;154,7;152,9;153,5;2354355
2011-05-02;152,1;154,6;151,9;154,4;1622670
2011-04-29;153,4;154;151,5;151,7;2833101
2011-04-28;153,8;153,8;152,8;153;2922413
2011-04-27;154,2;154,4;152,4;153;3055783
2011-04-26;150,3;154,8;149,9;154,4;2303201
2011-04-25;150,9;150,9;150,9;150,9;I/T
2011-04-22;150,9;150,9;150,9;150,9;I/T
2011-04-21;150,5;151;149;150,9;1108523
2011-04-20;149;150;147,9;150;1961696
2011-04-19;147,9;148,5;144,6;148,1;3504675
2011-04-18;152,3;152,4;148,1;148,5;2498574
2011-04-15;150,3;152;150,2;151,5;1366769
2011-04-14;150,9;151,4;149,9;150,1;1611532
2011-04-13;150,4;151,3;149,8;150,5;2203496
2011-04-12;150;150,9;148,8;149,4;2401369
2011-04-11;150,7;152,6;150,5;152;1538242
2011-04-08;151;151,7;150,3;151;1357669
2011-04-07;148,9;150,2;148,8;149,8;2238880
2011-04-06;148,4;148,8;147,9;148,8;1197364
2011-04-05;147,6;148,2;147,3;147,9;809854
2011-04-04;147;148,2;146,4;148;1022908
2011-04-01;146,6;147,7;146,1;146,8;1925013
2011-03-31;145,6;147,5;145,6;145,8;1877856
2011-03-30;144,4;146,8;144,1;145,3;2441627
2011-03-29;143,9;143,9;142,6;143,7;1249800
2011-03-28;142,5;143,7;141,6;143,5;1346995
2011-03-24;139,2;141;138,6;141;1303997
2011-03-23;138,4;139,8;137,7;139,4;1453292
2011-03-22;140;140,2;136,6;138,5;2342861
2011-03-21;139,7;140,9;138,8;139,7;1740035
2011-03-18;136,3;139,8;135,3;138,3;3695784
2011-03-17;133,3;136,3;131,7;135,8;2258178
2011-03-16;135;135;131,2;131,2;2858515
2011-03-14;136;136,5;135;136,2;1845281
2011-03-10;139,7;140,3;138,5;139;1583865
2011-03-09;139,9;140,6;139,2;140,4;1999752
2011-03-08;135,5;139,6;134,8;139,1;3670197
2011-03-07;137,5;138;134,2;134,8;4694515
2011-03-02;143;143,9;142,2;143,9;1490293
2011-03-01;145;146,5;144,4;144,4;1488454
2011-02-28;143,6;145,4;142,3;144,5;1816074
2011-02-25;143;143,5;140,6;143,4;1715903
2011-02-24;142,3;143,8;141,3;142,4;1705364
2011-02-23;145;145;142,3;142,6;2395612
2011-02-22;146,3;146,3;144,7;145,2;1686375
2011-02-21;145,5;147,9;145;146,5;2022875
2011-02-18;144,7;145,6;143,4;145;2241227
2011-02-17;146,4;146,9;143,7;144,2;2076256
2011-02-16;144,1;146,6;143,5;145,5;1756916
2011-02-15;147;147,6;144,3;145;2186923
2011-02-11;146,8;148,7;146,4;148,7;2180220
2011-02-10;150,1;150,3;145,8;146,2;2767140
2011-02-09;148;150,4;147,8;149,5;4098571
2011-02-08;148;150,2;145,8;147,5;6201991
2011-02-07;143,7;145,1;143;143;1746735
2011-02-04;143,5;145,5;142,5;143;1838633
2011-02-03;144,7;145,2;142;143,3;1461213
2011-02-02;146;146,6;142,9;143,8;1813376
2011-02-01;143,1;146;143,1;146;1426408
2011-01-31;141,1;142,9;140,2;142,5;1393604
2011-01-28;145,3;145,3;141,9;141,9;1371579
2011-01-27;142,7;145,1;142,5;144,5;1178605
2011-01-26;144,3;144,9;142,2;142,7;2302342
2011-01-25;144;144,2;142,6;143;1366141
2011-01-24;145,9;146,5;142;143,7;2392547
2011-01-21;136,7;147,7;135,4;145,2;5559221
2011-01-20;139,6;140,6;135,5;135,8;1965336
2011-01-19;142,7;142,8;139,8;139,8;1807907
2011-01-18;137,8;142,2;137,8;141,6;1684810
2011-01-14;139,5;139,5;136,9;137,3;2045350
2011-01-13;142;142,3;139,4;140,1;1877479
2011-01-12;144,4;144,5;141,3;142,4;1701129
2011-01-11;142;145,9;141,7;145,4;1450478
2011-01-10;144,6;144,6;141,2;142;1176468
2011-01-05;143,2;146,1;142,5;144,6;856973
2011-01-04;142,9;143,6;141,9;143,4;890468
2011-01-03;140,5;142,6;140,1;142,1;566944
2010-12-30;141,5;141,7;139,6;139,6;648227
2010-12-29;140,5;142,4;140,5;141,5;489956
2010-12-28;140,5;141,7;140,4;140,7;374524
2010-12-27;141,3;142;140,4;141;325988
2010-12-23;141;142,4;140,4;141,8;672544
2010-12-22;143,7;143,8;141;141,1;1496146
2010-12-21;144,6;145,3;143,5;143,7;997190
2010-12-17;145,6;146,4;143,9;145,2;1965886
2010-12-15;144,5;145;143;143,2;1125672
2010-12-14;145,9;145,9;143,6;144,5;1239031
2010-12-13;147;147;145,7;145,9;946249
2010-12-10;146,8;147,3;145,4;146,5;1021704
2010-12-09;148,5;151,1;146,4;146,5;2082507
2010-12-08;146,7;147,5;146;147,1;1404576
2010-12-07;147,5;150;147;148,4;1588939
2010-12-06;146,1;147,3;145,6;147,1;1018589
2010-12-03;144,9;147;144,7;147;1179624
2010-12-02;143,1;145,3;142,1;145,1;1370807
2010-12-01;140,7;143,2;139,7;143,1;1053512
2010-11-30;141;141,3;139,7;140,5;1615304
2010-11-29;142,7;142,8;141,2;141,2;1402898
2010-11-26;140,7;142,9;140;142,3;1139654
2010-11-25;140,4;142;140,1;141,3;685118
2010-11-24;139;140,6;138,7;139,9;1305377
2010-11-23;141,6;141,9;139,3;139,3;1586174
2010-11-22;143,5;143,5;141,6;142,3;1272223
2010-11-19;143,2;143,2;141,4;142;1120633
2010-11-17;142,2;142,9;140,9;142,9;1029629
2010-11-16;143,5;143,8;141,8;142,3;1230408
2010-11-15;142,9;143,5;142,2;143,4;755782
2010-11-11;146,5;146,9;145,3;146,1;593309
2010-11-10;146,4;147,7;145,1;146,2;1101412
2010-11-09;147,1;147,9;145,7;146,4;921347
2010-11-08;147,4;148,7;146,3;147,8;753654
2010-11-05;149;149,5;146,4;146,9;380963
2010-11-04;149,9;150,9;148,4;148,8;1279817
2010-11-03;148,3;148,5;147,2;148;975244
2010-11-02;147,2;149,1;147,1;147,4;786894
2010-10-29;145,4;148,5;145,2;147;1354149
2010-10-28;145,8;147,9;144,9;146,2;917012
2010-10-27;145,2;146,3;144,3;145;1212587
2010-10-26;145,6;147,3;145,4;146,2;977673
2010-10-25;146,8;148,1;144,6;145,1;1309001
2010-10-22;148,4;149,1;146;146;1532159
2010-10-21;145,8;150,4;145,1;148,2;3289997
2010-10-20;141,4;145,7;140,5;145,5;3031060
2010-10-19;143,9;143,9;140,2;140,2;2210143
2010-10-18;143,5;143,8;141,7;142,6;984101
2010-10-15;143,1;144,6;142,7;143,3;1349486
2010-10-14;144,6;145,5;141,9;143,2;1967616
2010-10-13;144,5;146,2;144,1;144,4;1309368
2010-10-11;145,5;145,9;143,1;144,5;1597330
2010-10-08;145,7;147;144,6;146,1;1362252
2010-10-07;144,5;145,7;144;145;1668591
2010-10-06;142,5;145,5;142,4;144,5;1785801
2010-10-04;142;142,5;139,9;140;1072504
