Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;49,11;49,35;48;48;10342476
2011-05-20;49,49;49,86;49,34;49,55;7473408
2011-05-19;49,68;49,7;49,35;49,49;5987382
2011-05-18;49,4;49,84;49,27;49,41;6438190
2011-05-17;49,38;49,67;49,05;49,19;9170387
2011-05-16;49,32;49,48;48,79;49,48;8241633
2011-05-12;49,6;49,68;49,28;49,5;7474252
2011-05-11;49,39;49,98;49,34;49,81;6864388
2011-05-10;49,08;49,34;48,85;49,34;6976070
2011-05-09;49,26;49,29;48,6;49,03;9639460
2011-05-06;49,24;49,38;48,94;49,2;9853775
2011-05-05;49,43;49,5;48,81;49,29;7005380
2011-05-04;49,5;49,75;48,92;49,22;12690829
2011-05-03;50;50;48,82;49,08;11935881
2011-05-02;49,4;49,86;49,16;49,74;7820713
2011-04-29;48,93;49,72;48,81;49,34;10682210
2011-04-28;48,15;49;47,81;48,91;11526674
2011-04-27;48,57;48,58;47,79;48;9626518
2011-04-26;47,46;48,63;47,28;48,63;12441740
2011-04-25;47,94;47,94;47,94;47,94;I/T
2011-04-22;47,94;47,94;47,94;47,94;I/T
2011-04-21;48,74;48,8;47,85;47,94;6369676
2011-04-20;48,86;49;48,42;48,83;13540257
2011-04-19;48,99;49,22;48,36;48,69;17429067
2011-04-18;50;50,15;49,55;49,77;12884772
2011-04-15;49,86;50,05;49,47;49,84;10004239
2011-04-14;50,35;50,5;49,58;49,78;8298753
2011-04-13;49,8;50,6;49,8;50,35;9166534
2011-04-12;49,96;50,35;49,67;49,98;27018607
2011-04-11;51;51;50,4;50,45;8986827
2011-04-08;51,1;51,25;50,6;50,8;9417481
2011-04-07;51,35;51,6;50,9;50,9;14480196
2011-04-06;54,2;54,25;53,55;54,05;13103049
2011-04-05;54,3;54,5;53,6;54,25;12270644
2011-04-04;54,45;54,95;54,3;54,85;9412279
2011-04-01;54,55;54,7;54,25;54,3;9293308
2011-03-31;54,35;54,95;54,35;54,55;9355776
2011-03-30;53,9;54,45;53,9;54,45;7417730
2011-03-29;53,5;53,8;53,15;53,8;7492907
2011-03-28;53,3;53,6;53,05;53,55;4090660
2011-03-24;52,7;53;52,5;52,95;6485404
2011-03-23;52,5;52,8;52,15;52,8;7216757
2011-03-22;52,85;53,15;52,2;52,75;10118073
2011-03-21;52,4;52,9;52,3;52,85;9613578
2011-03-18;52,5;52,55;51,4;52,1;20150008
2011-03-17;51,45;52,3;51,2;52,3;10174162
2011-03-16;52,1;52,25;51,2;51,2;12727058
2011-03-14;53,65;53,85;53,25;53,25;8375213
2011-03-10;53,75;54,55;53,6;54,15;26230474
2011-03-09;54,15;54,35;53,9;53,95;8914104
2011-03-08;53,95;54,3;53,75;54,05;10821392
2011-03-07;53,25;54,15;53;54;13775993
2011-03-02;53,55;53,65;53;53,15;12140693
2011-03-01;53,35;55,05;53,1;53,8;20229991
2011-02-28;52,75;53,25;52,25;53,25;7919133
