Dato;Åbning;Høj;Lav;Luk;Omsætning
2011-05-23;113,5;113,5;110;110,1;15197957
2011-05-20;115,9;116,2;114,6;114,7;8811243
2011-05-19;114,3;115,8;114,1;115,5;7405802
2011-05-18;115,1;115,6;113,9;113,9;7461100
2011-05-17;116,7;117;114,6;114,6;9345268
2011-05-16;115,3;116,8;115;116,7;7886563
2011-05-12;117,5;118,6;116,6;117,4;7527430
2011-05-11;119,4;120,2;118;118,4;7682387
2011-05-10;117,8;119,5;117,5;119,1;9272023
2011-05-09;116,8;118,7;116;117,8;9545535
2011-05-06;115,8;117,6;114,5;116,9;8204504
2011-05-05;116,4;117;113,6;115,4;8673121
2011-05-04;116,3;117,4;115,7;116;9974644
2011-05-03;117,5;117,5;114,6;116,7;7981694
2011-05-02;119;119,2;117,2;117,6;4733845
2011-04-29;116,2;118,7;116,2;118,6;8719087
2011-04-28;117;117;115,4;115,9;8102455
2011-04-27;118;118,5;115,3;116;14587271
2011-04-26;111,7;114,8;111,4;113,6;7670903
2011-04-25;112,7;112,7;112,7;112,7;I/T
2011-04-22;112,7;112,7;112,7;112,7;I/T
2011-04-21;112,1;112,7;111;112,7;4628293
2011-04-20;108,9;112;108,6;111,4;8134666
2011-04-19;104,6;108,3;104,6;107,6;6969026
2011-04-18;105,8;106,7;103,4;103,7;7856420
2011-04-15;107,4;107,6;105,9;105,9;5038798
2011-04-14;107,1;107,6;105,7;107,3;7819319
2011-04-13;107;108;106,9;107,1;6977238
2011-04-12;108,4;108,6;106,8;107;8535760
2011-04-11;109,9;110,5;108,7;109,1;5914067
2011-04-08;111,5;112,2;110;110,7;6602431
2011-04-07;111,4;112,7;110,7;110,7;7759240
2011-04-06;113,2;113,8;112;113,6;7930472
2011-04-05;112,5;114,3;112,1;112,9;10842571
2011-04-04;112,4;112,7;111,5;111,7;4940503
2011-04-01;111,5;113;109,9;112,3;9796277
2011-03-31;112,1;113,2;111;111;8587943
2011-03-30;111,6;113,2;111;112,4;8023052
2011-03-29;109,7;111;109,3;110,2;5107905
2011-03-28;109,7;110,3;108,6;109,8;5217479
2011-03-24;106,8;110,3;106,5;110,3;9293558
2011-03-23;106;107;104,6;107;8060577
2011-03-22;107,5;107,7;105;106,2;6532240
2011-03-21;106,1;107,3;105,8;107,1;7863210
2011-03-18;102,5;105;102,2;104,6;11515932
2011-03-17;99,6;101,6;99,25;101;9004230
2011-03-16;100,2;102,6;98,9;99,1;18637161
2011-03-14;102,2;103,8;101;101,8;11700709
2011-03-10;107;108,1;105,9;106,5;5977931
2011-03-09;106,8;109,8;106,6;107,9;7889823
2011-03-08;106,5;107,5;106;106,5;4198652
2011-03-07;105,1;107,6;104;105,9;8150640
2011-03-02;107,3;107,5;105;105,1;9617979
2011-03-01;109,9;110,8;108;108;6924815
2011-02-28;108,1;109,8;107,2;109,6;6689683
2011-02-25;106,8;108,3;105,9;107,5;5639729
2011-02-24;103;106,6;102,9;105,8;8413328
2011-02-23;106;106,3;103,2;104,7;11622136
2011-02-22;106,1;107;104,5;106,7;8742064
2011-02-21;107,8;109,4;106,5;106,9;6357059
2011-02-18;108,2;109,3;106,5;108;7129317
2011-02-17;111,2;111,2;106,9;107,7;11753868
2011-02-16;111,4;112,4;110,2;110,9;5726258
2011-02-15;113,2;113,5;110,2;111;9082229
2011-02-11;109,1;111,2;107,5;111,2;8134052
2011-02-10;108,8;109,5;107,9;109,1;6218884
2011-02-09;109,8;111,2;108,7;109;8604005
2011-02-08;110,5;111,9;108,3;109,2;11143695
2011-02-07;110,8;111,4;109,3;110,1;9270560
2011-02-04;104,5;110;104,5;109,9;24501631
2011-02-03;106,9;108;104,7;107;11483031
2011-02-02;109,9;110,6;104,3;106,3;18388320
2011-02-01;112,3;113,3;109,1;109,3;10927900
2011-01-31;112,1;112,5;110,6;111,7;6571949
2011-01-28;114,9;115,3;112,4;112,4;6253642
2011-01-27;115;116,6;113,3;114,8;11189042
2011-01-26;113,5;116,2;113,3;115,7;8117242
2011-01-25;110,8;114,4;110;112,5;11339717
2011-01-24;112,2;112,8;108,9;109,8;7794966
2011-01-21;110,6;111,7;109,6;111,6;10786363
2011-01-20;112,6;112,7;109,5;110,2;15743773
2011-01-19;116,9;117;112,2;112,2;12652254
2011-01-18;118,4;118,5;116,1;117,1;9272985
2011-01-14;118;118,6;116,1;118,2;7133258
2011-01-13;120,3;120,3;117,3;118;5796155
2011-01-12;120,2;120,8;119,3;119,5;5280538
2011-01-11;118,6;120,2;117,8;119,8;8263194
2011-01-10;120,2;120,5;117,1;117,8;7127964
2011-01-05;118,4;118,7;115,9;116,4;4330893
2011-01-04;122;122;117,9;118,3;9184355
2011-01-03;119,4;121,7;119,1;121,7;6388713
