"","ABB.ST.Open","ABB.ST.High","ABB.ST.Low","ABB.ST.Close","ABB.ST.Volume","ABB.ST.Adjusted","ALFA.ST.Open","ALFA.ST.High","ALFA.ST.Low","ALFA.ST.Close","ALFA.ST.Volume","ALFA.ST.Adjusted","ASSA-B.ST.Open","ASSA-B.ST.High","ASSA-B.ST.Low","ASSA-B.ST.Close","ASSA-B.ST.Volume","ASSA-B.ST.Adjusted","AZN.ST.Open","AZN.ST.High","AZN.ST.Low","AZN.ST.Close","AZN.ST.Volume","AZN.ST.Adjusted","ATCO-A.ST.Open","ATCO-A.ST.High","ATCO-A.ST.Low","ATCO-A.ST.Close","ATCO-A.ST.Volume","ATCO-A.ST.Adjusted","ATCO-B.ST.Open","ATCO-B.ST.High","ATCO-B.ST.Low","ATCO-B.ST.Close","ATCO-B.ST.Volume","ATCO-B.ST.Adjusted","BOL.ST.Open","BOL.ST.High","BOL.ST.Low","BOL.ST.Close","BOL.ST.Volume","BOL.ST.Adjusted","ELUX-B.ST.Open","ELUX-B.ST.High","ELUX-B.ST.Low","ELUX-B.ST.Close","ELUX-B.ST.Volume","ELUX-B.ST.Adjusted","ERIC-B.ST.Open","ERIC-B.ST.High","ERIC-B.ST.Low","ERIC-B.ST.Close","ERIC-B.ST.Volume","ERIC-B.ST.Adjusted","GETI-B.ST.Open","GETI-B.ST.High","GETI-B.ST.Low","GETI-B.ST.Close","GETI-B.ST.Volume","GETI-B.ST.Adjusted","HMB.ST.Open","HMB.ST.High","HMB.ST.Low","HMB.ST.Close","HMB.ST.Volume","HMB.ST.Adjusted","INVE-B.ST.Open","INVE-B.ST.High","INVE-B.ST.Low","INVE-B.ST.Close","INVE-B.ST.Volume","INVE-B.ST.Adjusted","LUPE.ST.Open","LUPE.ST.High","LUPE.ST.Low","LUPE.ST.Close","LUPE.ST.Volume","LUPE.ST.Adjusted","MTG-B.ST.Open","MTG-B.ST.High","MTG-B.ST.Low","MTG-B.ST.Close","MTG-B.ST.Volume","MTG-B.ST.Adjusted","NOKI-SEK.ST.Open","NOKI-SEK.ST.High","NOKI-SEK.ST.Low","NOKI-SEK.ST.Close","NOKI-SEK.ST.Volume","NOKI-SEK.ST.Adjusted","NDA-SEK.ST.Open","NDA-SEK.ST.High","NDA-SEK.ST.Low","NDA-SEK.ST.Close","NDA-SEK.ST.Volume","NDA-SEK.ST.Adjusted","SAND.ST.Open","SAND.ST.High","SAND.ST.Low","SAND.ST.Close","SAND.ST.Volume","SAND.ST.Adjusted","SCA-B.ST.Open","SCA-B.ST.High","SCA-B.ST.Low","SCA-B.ST.Close","SCA-B.ST.Volume","SCA-B.ST.Adjusted","SCV-B.ST.Open","SCV-B.ST.High","SCV-B.ST.Low","SCV-B.ST.Close","SCV-B.ST.Volume","SCV-B.ST.Adjusted","SEB-A.ST.Open","SEB-A.ST.High","SEB-A.ST.Low","SEB-A.ST.Close","SEB-A.ST.Volume","SEB-A.ST.Adjusted","SECU-B.ST.Open","SECU-B.ST.High","SECU-B.ST.Low","SECU-B.ST.Close","SECU-B.ST.Volume","SECU-B.ST.Adjusted","SKA-B.ST.Open","SKA-B.ST.High","SKA-B.ST.Low","SKA-B.ST.Close","SKA-B.ST.Volume","SKA-B.ST.Adjusted","SKF-B.ST.Open","SKF-B.ST.High","SKF-B.ST.Low","SKF-B.ST.Close","SKF-B.ST.Volume","SKF-B.ST.Adjusted","SSAB-A.ST.Open","SSAB-A.ST.High","SSAB-A.ST.Low","SSAB-A.ST.Close","SSAB-A.ST.Volume","SSAB-A.ST.Adjusted","SHB-A.ST.Open","SHB-A.ST.High","SHB-A.ST.Low","SHB-A.ST.Close","SHB-A.ST.Volume","SHB-A.ST.Adjusted","SWED-A.ST.Open","SWED-A.ST.High","SWED-A.ST.Low","SWED-A.ST.Close","SWED-A.ST.Volume","SWED-A.ST.Adjusted","SWMA.ST.Open","SWMA.ST.High","SWMA.ST.Low","SWMA.ST.Close","SWMA.ST.Volume","SWMA.ST.Adjusted","TEL2-B.ST.Open","TEL2-B.ST.High","TEL2-B.ST.Low","TEL2-B.ST.Close","TEL2-B.ST.Volume","TEL2-B.ST.Adjusted","TLSN.ST.Open","TLSN.ST.High","TLSN.ST.Low","TLSN.ST.Close","TLSN.ST.Volume","TLSN.ST.Adjusted","VOLV-B.ST.Open","VOLV-B.ST.High","VOLV-B.ST.Low","VOLV-B.ST.Close","VOLV-B.ST.Volume","VOLV-B.ST.Adjusted"
"2000-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,422,409,420,767700,414.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.5,184,177.5,183,5125600,853.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.5,203.5,198.5,203.5,333000,157.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,172,169,170,1695200,143.67,72,72,69,70,6059700,49.69,NA,NA,NA,NA,NA,NA
"2000-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.5,423.5,415.5,422,763300,416.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,188,184.5,185,6229000,862.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,207,202,205,370300,158.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.67,175,169.67,170,1933400,143.67,70,69,66,66.5,4979600,47.21,NA,NA,NA,NA,NA,NA
"2000-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,422,416.5,421,566400,415.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,186,182,184,3959000,858.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,210.5,205,207.5,236600,160.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.67,171.67,169.67,170.67,2511300,144.24,67,68.5,66,67,4820100,47.56,NA,NA,NA,NA,NA,NA
"2000-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,429,419.5,429,842600,423.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.5,191.5,184,190.5,6464700,888.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,211,206,206,789900,159.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.67,172.67,170.67,172,856400,145.36,67,67.5,65,66,4617600,46.85,NA,NA,NA,NA,NA,NA
"2000-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,427,421,426.5,965700,421.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,188,184.5,186.5,4380600,869.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.5,219,209,213,1363100,164.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.67,172,169.67,170.33,1520300,143.96,66,66.5,64,66.5,3412300,47.21,NA,NA,NA,NA,NA,NA
"2000-08-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.5,431,425,430,767100,424.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.5,190.5,186.5,187,4743000,872.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,215.5,213,213.5,932900,165.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.33,171,169,170,665200,143.67,66.5,66.5,66,66.5,2292100,47.21,NA,NA,NA,NA,NA,NA
"2000-08-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,434.5,428,432.5,915600,427.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.5,190,186,187,2690700,872.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,215,210,210,406800,162.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,171.33,166.67,167.33,1252100,141.42,66.5,69.5,66.5,67.5,3982000,47.92,NA,NA,NA,NA,NA,NA
"2000-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,432.5,426,431,342900,425.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.5,189,185,186,1899900,867.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,211,207,208.5,315500,161.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.67,170.33,166.67,168.67,492100,142.55,68,69,67,69,1290900,48.98,NA,NA,NA,NA,NA,NA
"2000-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,433.5,423.5,425.5,1014900,420.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,186,182.5,184,2596100,858.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.5,210,206,208,1058000,161.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.67,169,162.83,162.83,1704800,137.62,69,69,67,68,1655400,48.27,NA,NA,NA,NA,NA,NA
"2000-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,425,420,422.5,669800,417.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,186.5,182.5,184.5,2599300,860.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,213,207,212.5,570600,164.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.33,163.33,155.67,159,2919900,134.38,67.5,68.5,67,68,4236400,48.27,NA,NA,NA,NA,NA,NA
